,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.1541197385115214,interpolated/extrapolated data,4.4,real data,20776.451500000003,real data,22.078000000000003,real data,4.4,real data,20776.451500000003,real data,22.078000000000003,real data
1,2001,0.00472257,real data,9.3,real data,18673.98179,real data,22.169000000000004,real data,9.3,real data,18673.98179,real data,22.169000000000004,real data
2,2002,0.0045614,real data,14.099999999999998,real data,22786.028110000003,real data,22.261000000000003,real data,14.099999999999998,real data,22786.028110000003,real data,22.261000000000003,real data
3,2003,0.0878913,real data,19.0,real data,23320.51351,real data,22.353,real data,19.0,real data,23320.51351,real data,22.353,real data
4,2004,0.1058089999999999,real data,23.8,real data,22819.53938,real data,22.5,real data,23.8,real data,22819.53938,real data,22.5,real data
5,2005,1.22415,real data,28.7,real data,24504.39205999999,real data,22.703,real data,28.7,real data,24504.39205999999,real data,22.703,real data
6,2006,2.10712,real data,33.5,real data,24781.90064,real data,22.907,real data,33.5,real data,24781.90064,real data,22.907,real data
7,2007,1.9,real data,38.4,real data,27679.47563,real data,23.113,real data,38.4,real data,27679.47563,real data,23.113,real data
8,2008,1.84,real data,42.400000000000006,real data,28143.73770000001,real data,23.320000000000004,real data,42.400000000000006,real data,28143.73770000001,real data,23.320000000000004,real data
9,2009,3.55,real data,48.3,real data,32940.527180000005,real data,23.528,real data,48.3,real data,32940.527180000005,real data,23.528,real data
10,2010,4.0,real data,42.7,real data,36582.11252000001,real data,23.736999999999995,real data,42.7,real data,36582.11252000001,real data,23.736999999999995,real data
11,2011,5.000000000000001,real data,43.2,real data,35406.621320000006,real data,23.948000000000008,real data,43.2,real data,35406.621320000006,real data,23.948000000000008,real data
12,2012,5.454549999999999,real data,69.10000000000001,real data,38338.066150000006,real data,24.160000000000004,real data,69.10000000000001,real data,38338.066150000006,real data,24.160000000000004,real data
13,2013,5.900000000000001,real data,68.0,real data,39124.78944,real data,24.373000000000005,real data,68.0,real data,39124.78944,real data,24.373000000000005,real data
14,2014,7.0,real data,89.5,real data,38757.02238,real data,24.587,real data,89.5,real data,38757.02238,real data,24.587,real data
15,2015,8.26,real data,71.5,real data,38111.6957,real data,24.803000000000008,real data,71.5,real data,38111.6957,real data,24.803000000000008,real data
16,2016,11.0,real data,97.7,real data,37997.31448,real data,25.020000000000003,real data,97.7,real data,37997.31448,real data,25.020000000000003,real data
17,2017,13.5,real data,97.7,real data,37923.00331,real data,25.25,real data,97.7,real data,37923.00331,real data,25.25,real data
18,2018,16.799999999999997,real data,93.4,real data,37273.100610000016,real data,25.495,real data,93.4,real data,37273.100610000016,real data,25.495,real data
19,2019,17.6,real data,97.7,real data,37592.26819999999,real data,25.754,real data,97.7,real data,37592.26819999999,real data,25.754,real data
20,2020,18.4,real data,97.70000000000002,real data,35568.85886,real data,26.026000000000003,real data,97.70000000000002,real data,35568.85886,real data,26.026000000000003,real data
21,2021,19.733029423494195,interpolated/extrapolated data,97.7,real data,27535.816380000007,real data,26.31400000000001,real data,97.7,real data,27535.816380000007,real data,26.31400000000001,real data
22,2022,21.5990882704826,interpolated/extrapolated data,85.3,real data,25449.518740000003,real data,26.616,real data,85.3,real data,25449.518740000003,real data,26.616,real data
23,2023,23.998176540965204,interpolated/extrapolated data,58.17505688331116,interpolated/extrapolated data,25587.11298,real data,26.933,real data,58.17505688331116,interpolated/extrapolated data,25587.11298,real data,26.933,real data
