,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,,interpolated/extrapolated data,12216.37700458102,interpolated/extrapolated data,88.58700000000003,real data,,interpolated/extrapolated data,12216.37700458102,interpolated/extrapolated data,88.58700000000003,real data
1,2001,,interpolated/extrapolated data,,interpolated/extrapolated data,12494.72315486034,interpolated/extrapolated data,88.49100000000003,real data,,interpolated/extrapolated data,12494.72315486034,interpolated/extrapolated data,88.49100000000003,real data
2,2002,,interpolated/extrapolated data,,interpolated/extrapolated data,12705.47825,real data,88.394,real data,,interpolated/extrapolated data,12705.47825,real data,88.394,real data
3,2003,,interpolated/extrapolated data,,interpolated/extrapolated data,12848.64229,real data,88.297,real data,,interpolated/extrapolated data,12848.64229,real data,88.297,real data
4,2004,,interpolated/extrapolated data,,interpolated/extrapolated data,12936.0414,real data,88.198,real data,,interpolated/extrapolated data,12936.0414,real data,88.198,real data
5,2005,,interpolated/extrapolated data,,interpolated/extrapolated data,12928.97893,real data,88.09999999999998,real data,,interpolated/extrapolated data,12928.97893,real data,88.09999999999998,real data
6,2006,,interpolated/extrapolated data,,interpolated/extrapolated data,12452.54905,real data,88.00000000000001,real data,,interpolated/extrapolated data,12452.54905,real data,88.00000000000001,real data
7,2007,,interpolated/extrapolated data,,interpolated/extrapolated data,12742.145310000004,real data,87.89999999999999,real data,,interpolated/extrapolated data,12742.145310000004,real data,87.89999999999999,real data
8,2008,,interpolated/extrapolated data,,interpolated/extrapolated data,12466.86251,real data,87.799,real data,,interpolated/extrapolated data,12466.86251,real data,87.799,real data
9,2009,,interpolated/extrapolated data,,interpolated/extrapolated data,12011.95793,real data,87.69700000000002,real data,,interpolated/extrapolated data,12011.95793,real data,87.69700000000002,real data
10,2010,,interpolated/extrapolated data,,interpolated/extrapolated data,12113.42073,real data,87.594,real data,,interpolated/extrapolated data,12113.42073,real data,87.594,real data
11,2011,,interpolated/extrapolated data,,interpolated/extrapolated data,12186.902270000002,real data,87.50200000000001,real data,,interpolated/extrapolated data,12186.902270000002,real data,87.50200000000001,real data
12,2012,,interpolated/extrapolated data,,interpolated/extrapolated data,11745.489920000002,real data,87.42000000000002,real data,,interpolated/extrapolated data,11745.489920000002,real data,87.42000000000002,real data
13,2013,,interpolated/extrapolated data,,interpolated/extrapolated data,11554.27175,real data,87.34799999999998,real data,,interpolated/extrapolated data,11554.27175,real data,87.34799999999998,real data
14,2014,,interpolated/extrapolated data,,interpolated/extrapolated data,11876.706690000005,real data,87.28799999999998,real data,,interpolated/extrapolated data,11876.706690000005,real data,87.28799999999998,real data
15,2015,,interpolated/extrapolated data,,interpolated/extrapolated data,12387.00405,real data,87.23800000000001,real data,,interpolated/extrapolated data,12387.00405,real data,87.23800000000001,real data
16,2016,,interpolated/extrapolated data,,interpolated/extrapolated data,12326.53842,real data,87.19800000000001,real data,,interpolated/extrapolated data,12326.53842,real data,87.19800000000001,real data
17,2017,,interpolated/extrapolated data,,interpolated/extrapolated data,11611.67759,real data,87.17,real data,,interpolated/extrapolated data,11611.67759,real data,87.17,real data
18,2018,,interpolated/extrapolated data,,interpolated/extrapolated data,12080.61601,real data,87.15300000000002,real data,,interpolated/extrapolated data,12080.61601,real data,87.15300000000002,real data
19,2019,,interpolated/extrapolated data,,interpolated/extrapolated data,12189.04977,real data,87.14699999999999,real data,,interpolated/extrapolated data,12189.04977,real data,87.14699999999999,real data
20,2020,,interpolated/extrapolated data,,interpolated/extrapolated data,12841.38181,real data,87.15300000000002,real data,,interpolated/extrapolated data,12841.38181,real data,87.15300000000002,real data
21,2021,,interpolated/extrapolated data,,interpolated/extrapolated data,12879.634330000004,real data,87.16900000000003,real data,,interpolated/extrapolated data,12879.634330000004,real data,87.16900000000003,real data
22,2022,,interpolated/extrapolated data,,interpolated/extrapolated data,13342.43515,real data,87.196,real data,,interpolated/extrapolated data,13342.43515,real data,87.196,real data
23,2023,,interpolated/extrapolated data,,interpolated/extrapolated data,14448.250712828118,interpolated/extrapolated data,87.235,real data,,interpolated/extrapolated data,14448.250712828118,interpolated/extrapolated data,87.235,real data
