,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,10.5388,real data,100.0,real data,30321.38236000001,real data,92.39500000000002,real data,100.0,real data,30321.38236000001,real data,92.39500000000002,real data
1,2001,10.909821048522929,interpolated/extrapolated data,100.0,real data,32700.14578000001,real data,92.056,real data,100.0,real data,32700.14578000001,real data,92.056,real data
2,2002,11.2605,real data,100.0,real data,33850.63002,real data,91.64100000000002,real data,100.0,real data,33850.63002,real data,91.64100000000002,real data
3,2003,13.546400000000002,real data,100.0,real data,35215.72691,real data,91.20699999999998,real data,100.0,real data,35215.72691,real data,91.20699999999998,real data
4,2004,26.838000000000005,real data,100.0,real data,35601.47998999999,real data,90.751,real data,100.0,real data,35601.47998999999,real data,90.751,real data
5,2005,37.60580000000001,real data,100.0,real data,36022.65534999999,real data,90.28499999999995,real data,100.0,real data,36022.65534999999,real data,90.28499999999995,real data
6,2006,48.936800000000005,real data,100.0,real data,36728.27794,real data,89.80700000000002,real data,100.0,real data,36728.27794,real data,89.80700000000002,real data
7,2007,70.87,real data,100.0,real data,36254.62584,real data,89.308,real data,100.0,real data,36254.62584,real data,89.308,real data
8,2008,70.04,real data,100.0,real data,33575.66321,real data,89.00400000000002,real data,100.0,real data,33575.66321,real data,89.00400000000002,real data
9,2009,78.53,real data,100.0,real data,31646.242610000005,real data,88.91200000000002,real data,100.0,real data,31646.242610000005,real data,88.91200000000002,real data
10,2010,81.0,real data,100.0,real data,32244.31889,real data,88.819,real data,100.0,real data,32244.31889,real data,88.819,real data
11,2011,80.99999999999999,real data,100.0,real data,33453.325280000005,real data,88.726,real data,100.0,real data,33453.325280000005,real data,88.726,real data
12,2012,82.69999999999999,real data,100.0,real data,32181.846580000005,real data,88.631,real data,100.0,real data,32181.846580000005,real data,88.631,real data
13,2013,84.4,real data,100.0,real data,31717.15828,real data,88.53699999999999,real data,100.0,real data,31717.15828,real data,88.53699999999999,real data
14,2014,86.1,real data,100.0,real data,33153.91188,real data,88.44099999999999,real data,100.0,real data,33153.91188,real data,88.44099999999999,real data
15,2015,87.89999999999999,real data,100.0,real data,34357.66342000001,real data,88.34500000000003,real data,100.0,real data,34357.66342000001,real data,88.34500000000003,real data
16,2016,89.7,real data,100.0,real data,35628.76657000001,real data,88.24800000000005,real data,100.0,real data,35628.76657000001,real data,88.24800000000005,real data
17,2017,91.5675,real data,100.0,real data,34985.29073000001,real data,88.15000000000002,real data,100.0,real data,34985.29073000001,real data,88.15000000000002,real data
18,2018,90.97485476237662,interpolated/extrapolated data,100.0,real data,34879.59341,real data,88.06200000000001,real data,100.0,real data,34879.59341,real data,88.06200000000001,real data
19,2019,90.7187,real data,100.0,real data,34972.1474,real data,87.98400000000001,real data,100.0,real data,34972.1474,real data,87.98400000000001,real data
20,2020,93.20560000000002,real data,100.0,real data,30697.208580000013,real data,87.91600000000001,real data,100.0,real data,30697.208580000013,real data,87.91600000000001,real data
21,2021,93.8975,real data,100.0,real data,32823.61799000001,real data,87.858,real data,100.0,real data,32823.61799000001,real data,87.858,real data
22,2022,94.4855,real data,100.0,real data,35358.00765000001,real data,87.811,real data,100.0,real data,35358.00765000001,real data,87.811,real data
23,2023,95.38916156463932,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,35755.16968,real data,87.774,real data,99.99999999999996,interpolated/extrapolated data,35755.16968,real data,87.774,real data
