,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,3.97368,real data,100.0,real data,38328.65056999999,real data,33.827000000000005,real data,100.0,real data,38328.65056999999,real data,33.827000000000005,real data
1,2001,11.9365,real data,100.0,real data,37370.37858999999,real data,33.629,real data,100.0,real data,37370.37858999999,real data,33.629,real data
2,2002,27.8363,real data,100.0,real data,37418.95247,real data,33.431,real data,100.0,real data,37418.95247,real data,33.431,real data
3,2003,39.6896,real data,100.0,real data,37998.79994,real data,33.234,real data,100.0,real data,37998.79994,real data,33.234,real data
4,2004,49.8,real data,99.9,real data,38315.77036,real data,33.03699999999999,real data,99.9,real data,38315.77036,real data,33.03699999999999,real data
5,2005,52.50000000000001,real data,99.9,real data,39622.62109999999,real data,32.840999999999994,real data,99.9,real data,39622.62109999999,real data,32.840999999999994,real data
6,2006,55.29999999999999,real data,100.0,real data,41826.19782,real data,32.646,real data,100.0,real data,41826.19782,real data,32.646,real data
7,2007,58.2,real data,100.0,real data,42493.44816999999,real data,32.45099999999999,real data,100.0,real data,42493.44816999999,real data,32.45099999999999,real data
8,2008,61.400000000000006,real data,100.0,real data,42539.02521000001,real data,32.256,real data,100.0,real data,42539.02521000001,real data,32.256,real data
9,2009,64.70000000000002,real data,100.0,real data,40197.04349,real data,32.06300000000001,real data,100.0,real data,40197.04349,real data,32.06300000000001,real data
10,2010,65.1,real data,100.0,real data,39145.64983999999,real data,31.87,real data,100.0,real data,39145.64983999999,real data,31.87,real data
11,2011,66.5,real data,100.0,real data,38733.236520000006,real data,31.700000000000003,real data,100.0,real data,38733.236520000006,real data,31.700000000000003,real data
12,2012,71.20000000000002,real data,100.0,real data,38500.48097,real data,31.553,real data,100.0,real data,38500.48097,real data,31.553,real data
13,2013,71.8,real data,100.0,real data,38011.69322999999,real data,31.429,real data,100.0,real data,38011.69322999999,real data,31.429,real data
14,2014,71.9,real data,100.0,real data,37949.6684,real data,31.328,real data,100.0,real data,37949.6684,real data,31.328,real data
15,2015,72.0,real data,100.0,real data,37541.98753,real data,31.249,real data,100.0,real data,37541.98753,real data,31.249,real data
16,2016,72.2,real data,100.0,real data,38131.61396,real data,31.193000000000005,real data,100.0,real data,38131.61396,real data,31.193000000000005,real data
17,2017,72.3,real data,100.0,real data,38102.50633,real data,31.159,real data,100.0,real data,38102.50633,real data,31.159,real data
18,2018,72.4,real data,100.0,real data,37582.72138,real data,31.146999999999995,real data,100.0,real data,37582.72138,real data,31.146999999999995,real data
19,2019,72.6,real data,100.0,real data,37761.25879,real data,31.158,real data,100.0,real data,37761.25879,real data,31.158,real data
20,2020,72.67659999999998,real data,100.0,real data,32020.632380000003,real data,31.191000000000003,real data,100.0,real data,32020.632380000003,real data,31.191000000000003,real data
21,2021,74.8596,real data,100.0,real data,31888.163970000005,real data,31.246,real data,100.0,real data,31888.163970000005,real data,31.246,real data
22,2022,76.2053,real data,100.0,real data,37551.97756,real data,31.324000000000005,real data,100.0,real data,37551.97756,real data,31.324000000000005,real data
23,2023,76.1418074417895,interpolated/extrapolated data,100.00000000000036,interpolated/extrapolated data,39086.79587,real data,31.425,real data,100.00000000000036,interpolated/extrapolated data,39086.79587,real data,31.425,real data
