,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,5.96384,real data,79.0,real data,11359.26644,real data,45.39800000000002,real data,79.0,real data,11359.26644,real data,45.39800000000002,real data
1,2001,5.5083769177621225,interpolated/extrapolated data,80.20000000000002,real data,11562.57172,real data,45.381000000000014,real data,80.20000000000002,real data,11562.57172,real data,45.381000000000014,real data
2,2002,5.6842500000000005,real data,81.0,real data,11823.41246,real data,45.36399999999999,real data,81.0,real data,11823.41246,real data,45.36399999999999,real data
3,2003,6.491459246713632,interpolated/extrapolated data,81.79999999999998,real data,12584.350599999998,real data,45.34700000000001,real data,81.79999999999998,real data,12584.350599999998,real data,45.34700000000001,real data
4,2004,9.8,real data,82.6,real data,12802.18486,real data,45.33,real data,82.6,real data,12802.18486,real data,45.33,real data
5,2005,17.0,real data,83.5,real data,12710.067889999997,real data,45.31299999999999,real data,83.5,real data,12710.067889999997,real data,45.31299999999999,real data
6,2006,24.0,real data,91.0,real data,12907.551120000002,real data,45.29599999999999,real data,91.0,real data,12907.551120000002,real data,45.29599999999999,real data
7,2007,24.6,real data,85.2,real data,12969.94259,real data,45.279,real data,85.2,real data,12969.94259,real data,45.279,real data
8,2008,26.300000000000004,real data,86.1,real data,12405.66301,real data,45.26200000000001,real data,86.1,real data,12405.66301,real data,45.26200000000001,real data
9,2009,27.2,real data,86.9,real data,12031.131040000002,real data,45.245000000000005,real data,86.9,real data,12031.131040000002,real data,45.245000000000005,real data
10,2010,28.2,real data,89.9,real data,11875.282990000002,real data,45.228,real data,89.9,real data,11875.282990000002,real data,45.228,real data
11,2011,30.7,real data,91.7,real data,11590.96603,real data,45.22800000000001,real data,91.7,real data,11590.96603,real data,45.22800000000001,real data
12,2012,31.0,real data,90.9,real data,11768.34702,real data,45.246,real data,90.9,real data,11768.34702,real data,45.246,real data
13,2013,33.6,real data,91.1,real data,12033.006759999998,real data,45.28199999999999,real data,91.1,real data,12033.006759999998,real data,45.28199999999999,real data
14,2014,38.7,real data,91.5,real data,12256.28577,real data,45.335,real data,91.5,real data,12256.28577,real data,45.335,real data
15,2015,41.59,real data,91.8,real data,12346.597140000002,real data,45.40600000000001,real data,91.8,real data,12346.597140000002,real data,45.40600000000001,real data
16,2016,44.5757,real data,93.29999999999998,real data,12069.755010000004,real data,45.495000000000005,real data,93.29999999999998,real data,12069.755010000004,real data,45.495000000000005,real data
17,2017,47.0826,real data,94.2,real data,11581.12765,real data,45.601,real data,94.2,real data,11581.12765,real data,45.601,real data
18,2018,49.8,real data,91.7,real data,11493.42759,real data,45.724,real data,91.7,real data,11493.42759,real data,45.724,real data
19,2019,53.3,real data,92.7,real data,11809.89506,real data,45.866,real data,92.7,real data,11809.89506,real data,45.866,real data
20,2020,57.0987,real data,96.8,real data,10038.33045,real data,46.02500000000001,real data,96.8,real data,10038.33045,real data,46.02500000000001,real data
21,2021,65.0198,real data,97.7,real data,11684.19562,real data,46.20100000000001,real data,97.7,real data,11684.19562,real data,46.20100000000001,real data
22,2022,70.354,real data,98.6,real data,12577.067189999998,real data,46.396,real data,98.6,real data,12577.067189999998,real data,46.396,real data
23,2023,71.83479781069403,interpolated/extrapolated data,100.22612377525212,interpolated/extrapolated data,12462.47926,real data,46.608,real data,100.22612377525212,interpolated/extrapolated data,12462.47926,real data,46.608,real data
