,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.271741,real data,39.8,real data,459530.29400000017,real data,28.08,real data,39.8,real data,459530.29400000017,real data,28.08,real data
1,2001,0.443068,real data,41.99999999999999,real data,460677.60680000007,real data,28.036000000000005,real data,41.99999999999999,real data,460677.60680000007,real data,28.036000000000005,real data
2,2002,0.55487,real data,44.8,real data,461517.9551000001,real data,27.992,real data,44.8,real data,461517.9551000001,real data,27.992,real data
3,2003,0.8481890000000001,real data,46.5,real data,462233.9847,real data,27.947000000000003,real data,46.5,real data,462233.9847,real data,27.947000000000003,real data
4,2004,1.32733,real data,48.7,real data,462259.6021,real data,27.902999999999995,real data,48.7,real data,462259.6021,real data,27.902999999999995,real data
5,2005,2.0,real data,51.0,real data,465773.0938999999,real data,27.87499999999999,real data,51.0,real data,465773.0938999999,real data,27.87499999999999,real data
6,2006,2.2,real data,53.2,real data,468554.9307,real data,27.863000000000007,real data,53.2,real data,468554.9307,real data,27.863000000000007,real data
7,2007,2.5,real data,55.50000000000001,real data,462983.4648,real data,27.867,real data,55.50000000000001,real data,462983.4648,real data,27.867,real data
8,2008,3.0,real data,57.79999999999999,real data,471869.85050000006,real data,27.88600000000001,real data,57.79999999999999,real data,471869.85050000006,real data,27.88600000000001,real data
9,2009,3.5,real data,60.10000000000001,real data,477569.66230000014,real data,27.921000000000003,real data,60.10000000000001,real data,477569.66230000014,real data,27.921000000000003,real data
10,2010,5.1000000000000005,real data,69.7,real data,485856.12,real data,27.972999999999992,real data,69.7,real data,485856.12,real data,27.972999999999992,real data
11,2011,5.5,real data,69.3,real data,495974.7336000001,real data,28.04,real data,69.3,real data,495974.7336000001,real data,28.04,real data
12,2012,5.975300000000001,real data,69.30000000000001,real data,501499.4512,real data,28.123,real data,69.30000000000001,real data,501499.4512,real data,28.123,real data
13,2013,6.500000000000001,real data,69.4,real data,512939.4763,real data,28.223,real data,69.4,real data,512939.4763,real data,28.223,real data
14,2014,6.980000000000001,real data,71.8,real data,512474.7556,real data,28.338,real data,71.8,real data,512474.7556,real data,28.337999999999997,real data
15,2015,7.45916,real data,74.1,real data,507527.1995,real data,28.47,real data,74.1,real data,507527.1995,real data,28.47,real data
16,2016,7.938320000000001,real data,76.4,real data,513733.29590000014,real data,28.619000000000003,real data,76.4,real data,513733.29590000014,real data,28.619000000000003,real data
17,2017,8.47817,real data,78.70000000000002,real data,522814.179,real data,28.784,real data,78.70000000000002,real data,522814.179,real data,28.784,real data
18,2018,11.686570139030394,interpolated/extrapolated data,81.00000000000001,real data,531378.9962,real data,28.965,real data,81.00000000000001,real data,531378.9962,real data,28.965,real data
19,2019,16.3838,real data,83.30000000000001,real data,530431.8669,real data,29.164,real data,83.30000000000001,real data,530431.8669,real data,29.164,real data
20,2020,21.1632152,real data,85.6,real data,519109.1125000001,real data,29.38000000000001,real data,85.6,real data,519109.1125000001,real data,29.38000000000001,real data
21,2021,27.3369432,real data,87.90000000000002,real data,519130.405,real data,29.613000000000003,real data,87.90000000000002,real data,519130.405,real data,29.613000000000003,real data
22,2022,35.12367191016159,interpolated/extrapolated data,89.9,real data,522418.2079000001,real data,29.864,real data,89.9,real data,522418.2079000001,real data,29.864,real data
23,2023,44.52340133048477,interpolated/extrapolated data,91.54853071886164,interpolated/extrapolated data,527818.5109,real data,30.132,real data,91.54853071886164,interpolated/extrapolated data,527818.5109,real data,30.132,real data
