,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.0263547,real data,29.4,real data,911767.6694,real data,58.695,real data,29.4,real data,911767.6694,real data,58.695,real data
1,2001,0.0322236,real data,30.3,real data,911389.0651000002,real data,59.156000000000006,real data,30.3,real data,911389.0651000002,real data,59.156000000000006,real data
2,2002,0.15725,real data,31.2,real data,930893.5780999998,real data,59.61699999999999,real data,31.2,real data,930893.5780999998,real data,59.61699999999999,real data
3,2003,0.4600139999999999,real data,32.1,real data,912595.4849000002,real data,60.076,real data,32.1,real data,912595.4849000002,real data,60.076,real data
4,2004,1.0775,real data,33.0,real data,912594.2405999998,real data,60.533,real data,33.0,real data,912594.2405999998,real data,60.533,real data
5,2005,1.46342,real data,33.8,real data,948564.9929999996,real data,60.98799999999999,real data,33.8,real data,948564.9929999996,real data,60.98799999999999,real data
6,2006,2.00799,real data,34.9,real data,986678.2509,real data,61.441,real data,34.9,real data,986678.2509,real data,61.441,real data
7,2007,2.7597000000000005,real data,35.800000000000004,real data,888311.8428,real data,61.893,real data,35.800000000000004,real data,888311.8428,real data,61.893,real data
8,2008,4.287510000000001,real data,36.8,real data,913779.6025000004,real data,62.34600000000001,real data,36.8,real data,913779.6025000004,real data,62.34600000000001,real data
9,2009,4.5,real data,37.1,real data,980159.1371000002,real data,62.8,real data,37.1,real data,980159.1371000002,real data,62.8,real data
10,2010,5.000000000000001,real data,40.00000000000001,real data,1033778.446,real data,63.256000000000014,real data,40.00000000000001,real data,1033778.446,real data,63.256000000000014,real data
11,2011,5.6000000000000005,real data,40.8,real data,1022789.8040000002,real data,63.71200000000002,real data,40.8,real data,1022789.8040000002,real data,63.71200000000002,real data
12,2012,6.106700000000001,real data,41.6,real data,1093517.485,real data,64.16900000000001,real data,41.6,real data,1093517.485,real data,64.16900000000001,real data
13,2013,6.6,real data,42.5,real data,1059651.869,real data,64.62699999999998,real data,42.5,real data,1059651.869,real data,64.62699999999998,real data
14,2014,7.11,real data,43.400000000000006,real data,1103100.5550000002,real data,65.085,real data,43.400000000000006,real data,1103100.5550000002,real data,65.085,real data
15,2015,7.615970000000001,real data,44.3,real data,1081235.493,real data,65.54300000000002,real data,44.3,real data,1081235.493,real data,65.54300000000002,real data
16,2016,8.121950000000002,real data,45.3,real data,963704.6453000002,real data,66.00100000000002,real data,45.3,real data,963704.6453000002,real data,66.00100000000002,real data
17,2017,8.65,real data,46.2,real data,887944.0236,real data,66.45899999999999,real data,46.2,real data,887944.0236,real data,66.45899999999999,real data
18,2018,11.685350244225644,interpolated/extrapolated data,47.0,real data,846582.3501000004,real data,66.91600000000001,real data,47.0,real data,846582.3501000004,real data,66.91600000000001,real data
19,2019,17.46104328172867,interpolated/extrapolated data,47.70000000000002,real data,835747.0746,real data,67.37299999999999,real data,47.70000000000002,real data,835747.0746,real data,67.37299999999999,real data
20,2020,24.8206,real data,48.7,real data,764827.3681000001,real data,67.82900000000002,real data,48.7,real data,764827.3681000001,real data,67.82900000000002,real data
21,2021,32.7417,real data,49.7,real data,754313.6389000001,real data,68.28300000000003,real data,49.7,real data,754313.6389000001,real data,68.28300000000003,real data
22,2022,36.2469,real data,50.6,real data,747315.5392,real data,68.73600000000002,real data,50.6,real data,747315.5392,real data,68.73600000000002,real data
23,2023,34.506626119711854,interpolated/extrapolated data,51.393699677242594,interpolated/extrapolated data,743363.1711,real data,69.188,real data,51.393699677242594,interpolated/extrapolated data,743363.1711,real data,69.188,real data
