,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.541183,real data,97.0,real data,2572.1504760000003,real data,75.323,real data,97.0,real data,2572.1504760000003,real data,75.323,real data
1,2001,1.07975,real data,96.2,real data,2645.7331980000004,real data,75.55499999999999,real data,96.2,real data,2645.7331980000004,real data,75.55499999999999,real data
2,2002,3.77059,real data,95.5,real data,2675.438997,real data,75.785,real data,95.5,real data,2675.438997,real data,75.785,real data
3,2003,5.241270000000001,real data,96.5,real data,2768.992727,real data,75.947,real data,96.5,real data,2768.992727,real data,75.947,real data
4,2004,8.40798,real data,96.6,real data,2921.124011,real data,76.041,real data,96.6,real data,2921.124011,real data,76.041,real data
5,2005,9.73806,real data,96.79999999999998,real data,3241.474482999999,real data,76.13399999999999,real data,96.79999999999998,real data,3241.474482999999,real data,76.13399999999999,real data
6,2006,11.159599999999998,real data,96.9,real data,3627.434378000001,real data,76.227,real data,96.9,real data,3627.434378000001,real data,76.227,real data
7,2007,11.69,real data,97.10000000000002,real data,3887.857048,real data,76.31999999999998,real data,97.10000000000002,real data,3887.857048,real data,76.31999999999998,real data
8,2008,12.94,real data,97.3,real data,4046.303845,real data,76.41300000000001,real data,97.3,real data,4046.303845,real data,76.41300000000001,real data
9,2009,14.330000000000002,real data,97.6,real data,4103.953361,real data,76.505,real data,97.6,real data,4103.953361,real data,76.505,real data
10,2010,15.9,real data,97.8,real data,4201.051763000001,real data,76.59700000000001,real data,97.8,real data,4201.051763000001,real data,76.59700000000001,real data
11,2011,16.0173,real data,98.0,real data,4317.187407000001,real data,76.68900000000001,real data,98.0,real data,4317.187407000001,real data,76.68900000000001,real data
12,2012,21.2,real data,98.3,real data,4446.715193000001,real data,76.78100000000002,real data,98.3,real data,4446.715193000001,real data,76.78100000000002,real data
13,2013,27.93,real data,98.5,real data,4570.918450999999,real data,76.82699999999998,real data,98.5,real data,4570.918450999999,real data,76.82699999999998,real data
14,2014,29.0702,real data,98.7,real data,4623.873859000001,real data,76.861,real data,98.7,real data,4623.873859000001,real data,76.861,real data
15,2015,37.3051,real data,99.0,real data,4833.683886000002,real data,76.89600000000002,real data,99.0,real data,4833.683886000002,real data,76.89600000000002,real data
16,2016,42.9787,real data,99.20000000000002,real data,4862.549855000001,real data,76.93000000000004,real data,99.20000000000002,real data,4862.549855000001,real data,76.93000000000004,real data
17,2017,57.14840000000001,real data,99.4,real data,4958.378785000001,real data,76.97699999999999,real data,99.4,real data,4958.378785000001,real data,76.97699999999999,real data
18,2018,62.6789,real data,99.6,real data,5079.193075,real data,77.03700000000002,real data,99.6,real data,5079.193075,real data,77.03700000000002,real data
19,2019,67.97080000000001,real data,99.8,real data,5081.896153999999,real data,77.10899999999998,real data,99.8,real data,5081.896153999999,real data,77.10899999999998,real data
20,2020,71.1191,real data,99.9,real data,4536.202057000002,real data,77.19400000000002,real data,99.9,real data,4536.202057000002,real data,77.19400000000002,real data
21,2021,67.6435,real data,100.0,real data,4615.449074,real data,77.29200000000002,real data,100.0,real data,4615.449074,real data,77.29200000000002,real data
22,2022,73.2178,real data,100.0,real data,4723.847224000002,real data,77.40100000000002,real data,100.0,real data,4723.847224000002,real data,77.40100000000002,real data
23,2023,90.64330335269275,interpolated/extrapolated data,99.87939044021935,interpolated/extrapolated data,4649.493722,real data,77.523,real data,99.87939044021935,interpolated/extrapolated data,4649.493722,real data,77.523,real data
