,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,-38.49170000000005,interpolated/extrapolated data,100.0,real data,36477.27925,real data,90.752,real data,100.0,real data,36477.27925,real data,90.752,real data
1,2001,-32.220000000000034,interpolated/extrapolated data,99.9,real data,37574.49611000001,real data,91.011,real data,99.9,real data,37574.49611000001,real data,91.011,real data
2,2002,-25.94830000000004,interpolated/extrapolated data,99.9,real data,37677.56047,real data,90.894,real data,99.9,real data,37677.56047,real data,90.894,real data
3,2003,-19.676600000000043,interpolated/extrapolated data,99.8,real data,37014.93211,real data,90.775,real data,99.8,real data,37014.93211,real data,90.775,real data
4,2004,-13.404900000000032,interpolated/extrapolated data,99.8,real data,36457.73146,real data,90.655,real data,99.8,real data,36457.73146,real data,90.655,real data
5,2005,-7.133200000000024,interpolated/extrapolated data,99.7,real data,35780.186399999984,real data,90.534,real data,99.7,real data,35780.186399999984,real data,90.534,real data
6,2006,-0.8615000000000279,interpolated/extrapolated data,99.7,real data,35443.50852000001,real data,90.41100000000002,real data,99.7,real data,35443.50852000001,real data,90.41100000000002,real data
7,2007,5.410199999999975,interpolated/extrapolated data,99.7,real data,35608.73688,real data,90.287,real data,99.7,real data,35608.73688,real data,90.287,real data
8,2008,11.681899999999978,interpolated/extrapolated data,99.7,real data,35932.898270000005,real data,90.161,real data,99.7,real data,35932.898270000005,real data,90.161,real data
9,2009,17.95359999999998,interpolated/extrapolated data,99.7,real data,35510.005240000006,real data,90.03400000000002,real data,99.7,real data,35510.005240000006,real data,90.03400000000002,real data
10,2010,24.225299999999983,interpolated/extrapolated data,100.0,real data,35092.31219,real data,89.90500000000002,real data,100.0,real data,35092.31219,real data,89.90500000000002,real data
11,2011,30.496999999999986,interpolated/extrapolated data,100.0,real data,34773.124230000016,real data,89.77500000000002,real data,100.0,real data,34773.124230000016,real data,89.77500000000002,real data
12,2012,36.76869999999999,interpolated/extrapolated data,100.0,real data,34365.3878,real data,89.65400000000002,real data,100.0,real data,34365.3878,real data,89.65400000000002,real data
13,2013,43.04039999999999,interpolated/extrapolated data,100.0,real data,33761.997630000005,real data,89.544,real data,100.0,real data,33761.997630000005,real data,89.544,real data
14,2014,49.3121,interpolated/extrapolated data,100.0,real data,33097.74163,real data,89.44299999999998,real data,100.0,real data,33097.74163,real data,89.44299999999998,real data
15,2015,55.5838,interpolated/extrapolated data,100.0,real data,32813.50487,real data,89.35200000000002,real data,100.0,real data,32813.50487,real data,89.35200000000002,real data
16,2016,61.8555,real data,100.0,real data,32120.758590000005,real data,89.272,real data,100.0,real data,32120.758590000005,real data,89.272,real data
17,2017,68.1272,real data,100.0,real data,31609.66505,real data,89.20300000000002,real data,100.0,real data,31609.66505,real data,89.20300000000002,real data
18,2018,74.3989,interpolated/extrapolated data,100.0,real data,31107.504270000005,real data,89.14499999999998,real data,100.0,real data,31107.504270000005,real data,89.14499999999998,real data
19,2019,80.67060000000001,interpolated/extrapolated data,100.0,real data,30472.57008,real data,89.09799999999998,real data,100.0,real data,30472.57008,real data,89.09799999999998,real data
20,2020,86.94230000000002,interpolated/extrapolated data,100.0,real data,25253.93824000001,real data,89.06200000000001,real data,100.0,real data,25253.93824000001,real data,89.06200000000001,real data
21,2021,93.214,interpolated/extrapolated data,100.0,real data,26755.649350000003,real data,89.038,real data,100.0,real data,26755.649350000003,real data,89.038,real data
22,2022,99.4857,interpolated/extrapolated data,100.0,real data,29055.91226,real data,89.02500000000002,real data,100.0,real data,29055.91226,real data,89.02500000000002,real data
23,2023,105.75740000000002,interpolated/extrapolated data,100.00000000156172,interpolated/extrapolated data,30713.80846,real data,89.023,real data,100.00000000156172,interpolated/extrapolated data,30713.80846,real data,89.023,real data
