,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,19.1316,real data,99.9,real data,,interpolated/extrapolated data,100.0,real data,99.9,real data,,interpolated/extrapolated data,100.0,real data
1,2001,21.1711,real data,99.9,real data,,interpolated/extrapolated data,100.0,real data,99.9,real data,,interpolated/extrapolated data,100.0,real data
2,2002,23.6702,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data
3,2003,28.3258,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data
4,2004,32.8861,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data
5,2005,39.0701,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data
6,2006,45.2986,real data,99.70000000000002,real data,,interpolated/extrapolated data,100.0,real data,99.70000000000002,real data,,interpolated/extrapolated data,100.0,real data
7,2007,51.61000000000001,real data,99.7,real data,,interpolated/extrapolated data,100.00000000000004,real data,99.7,real data,,interpolated/extrapolated data,100.00000000000004,real data
8,2008,58.0,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data,99.7,real data,,interpolated/extrapolated data,100.0,real data
9,2009,65.07,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
10,2010,65.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
11,2011,65.0,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data,99.8,real data,,interpolated/extrapolated data,100.0,real data
12,2012,65.017,real data,99.9,real data,,interpolated/extrapolated data,100.00000000000004,real data,99.9,real data,,interpolated/extrapolated data,100.00000000000004,real data
13,2013,67.67311410535501,interpolated/extrapolated data,99.9,real data,,interpolated/extrapolated data,100.0,real data,99.9,real data,,interpolated/extrapolated data,100.0,real data
14,2014,73.46306880714005,interpolated/extrapolated data,99.90000000000002,real data,,interpolated/extrapolated data,100.0,real data,99.90000000000002,real data,,interpolated/extrapolated data,100.0,real data
15,2015,82.38686410535502,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
16,2016,94.4445,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
17,2017,109.63597649107496,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
18,2018,127.96129357857993,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,99.99999999999996,real data,100.0,real data,,interpolated/extrapolated data,99.99999999999996,real data
19,2019,149.42045126251486,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
20,2020,174.01344954287975,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.00000000000004,real data,100.0,real data,,interpolated/extrapolated data,100.00000000000004,real data
21,2021,201.7402884196748,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
22,2022,232.60096789289952,interpolated/extrapolated data,100.0,real data,,interpolated/extrapolated data,100.0,real data,100.0,real data,,interpolated/extrapolated data,100.0,real data
23,2023,266.59548796255444,interpolated/extrapolated data,99.99999652217537,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,99.99999652217537,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data
