,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.6,real data,74.6,real data,774079.4637000001,real data,28.69400000000001,real data,74.6,real data,774079.4637000001,real data,28.69400000000001,real data
1,2001,1.0,real data,75.09999999999998,real data,792092.4258000001,real data,28.606000000000005,real data,75.09999999999998,real data,792092.4258000001,real data,28.606000000000005,real data
2,2002,1.5,real data,75.69999999999999,real data,801929.2955,real data,28.518,real data,75.69999999999999,real data,801929.2955,real data,28.518,real data
3,2003,2.4,real data,76.2,real data,797434.6702,real data,28.306999999999995,real data,76.2,real data,797434.6702,real data,28.306999999999995,real data
4,2004,3.7,real data,76.79999999999998,real data,810626.9191999999,real data,28.064,real data,76.79999999999998,real data,810626.9191999999,real data,28.064,real data
5,2005,5.700000000000001,real data,77.5,real data,796382.9333999996,real data,27.821999999999992,real data,77.5,real data,796382.9333999996,real data,27.821999999999992,real data
6,2006,8.900000000000002,real data,73.4,real data,839383.1540999999,real data,27.582,real data,73.4,real data,839383.1540999999,real data,27.582,real data
7,2007,13.800000000000002,real data,78.49999999999999,real data,902247.5725,real data,27.343,real data,78.49999999999999,real data,902247.5725,real data,27.343,real data
8,2008,18.2,real data,79.1,real data,920827.5576999998,real data,27.105000000000008,real data,79.1,real data,920827.5576999998,real data,27.105000000000008,real data
9,2009,23.9,real data,77.6,real data,957269.9689,real data,26.869000000000007,real data,77.6,real data,957269.9689,real data,26.869000000000007,real data
10,2010,29.9,real data,83.3,real data,1000661.99,real data,26.634,real data,83.3,real data,1000661.99,real data,26.634,real data
11,2011,30.0,real data,84.2,real data,1057036.56,real data,26.40000000000001,real data,84.2,real data,1057036.56,real data,26.40000000000001,real data
12,2012,30.500000000000007,real data,85.1,real data,1112608.0010000004,real data,26.4,real data,85.1,real data,1112608.0010000004,real data,26.4,real data
13,2013,31.0,real data,86.0,real data,1147515.87,real data,26.399999999999995,real data,86.0,real data,1147515.87,real data,26.399999999999995,real data
14,2014,32.0,real data,86.90000000000002,real data,1160358.459,real data,26.414000000000005,real data,86.90000000000002,real data,1160358.459,real data,26.414000000000005,real data
15,2015,33.99999999999999,real data,88.0,real data,1161325.863,real data,26.441000000000003,real data,88.0,real data,1161325.863,real data,26.441000000000003,real data
16,2016,35.660000000000004,real data,89.0,real data,1198016.3660000002,real data,26.482000000000006,real data,89.0,real data,1198016.3660000002,real data,26.482000000000006,real data
17,2017,42.7,real data,89.99999999999999,real data,1234781.952,real data,26.538,real data,89.99999999999999,real data,1234781.952,real data,26.538,real data
18,2018,51.1,real data,90.9,real data,1252020.072,real data,26.605999999999995,real data,90.9,real data,1252020.072,real data,26.605999999999995,real data
19,2019,61.10000000000001,real data,91.6,real data,1292730.2779999997,real data,26.689,real data,91.6,real data,1292730.2779999997,real data,26.689,real data
20,2020,73.1413,real data,92.3,real data,1855227.553000001,real data,26.78600000000001,real data,92.3,real data,1855227.553000001,real data,26.78600000000001,real data
21,2021,81.07159999999999,real data,92.9,real data,2205532.9940000004,real data,26.897,real data,92.9,real data,2205532.9940000004,real data,26.897,real data
22,2022,85.3163,real data,93.0,real data,3575412.131,real data,27.022,real data,93.0,real data,3575412.131,real data,27.022,real data
23,2023,86.13076504529081,interpolated/extrapolated data,92.53539250221544,interpolated/extrapolated data,4756692.724,real data,27.162,real data,92.53539250221544,interpolated/extrapolated data,4756692.724,real data,27.162,real data
