,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,100.0,real data,30289.05087,real data,51.823,real data,100.0,real data,30289.05087,real data,51.823,real data
1,2001,,interpolated/extrapolated data,100.0,real data,31583.60531,real data,51.833,real data,100.0,real data,31583.60531,real data,51.833,real data
2,2002,,interpolated/extrapolated data,100.0,real data,33194.97637999999,real data,51.851,real data,100.0,real data,33194.97637999999,real data,51.851,real data
3,2003,,interpolated/extrapolated data,100.0,real data,34837.73399,real data,51.869000000000014,real data,100.0,real data,34837.73399,real data,51.869000000000014,real data
4,2004,,interpolated/extrapolated data,100.0,real data,36303.69835,real data,51.88699999999999,real data,100.0,real data,36303.69835,real data,51.88699999999999,real data
5,2005,,interpolated/extrapolated data,100.0,real data,38095.56567,real data,51.905,real data,100.0,real data,38095.56567,real data,51.905,real data
6,2006,,interpolated/extrapolated data,100.0,real data,40631.37843,real data,51.92200000000001,real data,100.0,real data,40631.37843,real data,51.92200000000001,real data
7,2007,,interpolated/extrapolated data,100.0,real data,43219.590370000005,real data,51.93999999999999,real data,100.0,real data,43219.590370000005,real data,51.93999999999999,real data
8,2008,,interpolated/extrapolated data,100.0,real data,44849.87017000001,real data,51.958000000000006,real data,100.0,real data,44849.87017000001,real data,51.958000000000006,real data
9,2009,,interpolated/extrapolated data,100.0,real data,45289.29454,real data,51.976000000000006,real data,100.0,real data,45289.29454,real data,51.976000000000006,real data
10,2010,,interpolated/extrapolated data,100.0,real data,46307.646080000006,real data,51.994,real data,100.0,real data,46307.646080000006,real data,51.994,real data
11,2011,,interpolated/extrapolated data,100.0,real data,46948.88009,real data,52.01200000000001,real data,100.0,real data,46948.88009,real data,52.01200000000001,real data
12,2012,,interpolated/extrapolated data,100.0,real data,50406.0505,real data,52.04599999999999,real data,100.0,real data,50406.0505,real data,52.04599999999999,real data
13,2013,,interpolated/extrapolated data,100.0,real data,52614.83245,real data,52.09599999999999,real data,100.0,real data,52614.83245,real data,52.09599999999999,real data
14,2014,,interpolated/extrapolated data,100.0,real data,55491.3963,real data,52.16199999999999,real data,100.0,real data,55491.3963,real data,52.16199999999999,real data
15,2015,,interpolated/extrapolated data,100.0,real data,55474.99193,real data,52.245,real data,100.0,real data,55474.99193,real data,52.245,real data
16,2016,,interpolated/extrapolated data,100.0,real data,59422.05973000001,real data,52.34300000000001,real data,100.0,real data,59422.05973000001,real data,52.34300000000001,real data
17,2017,,interpolated/extrapolated data,100.0,real data,61003.79751,real data,52.458000000000006,real data,100.0,real data,61003.79751,real data,52.458000000000006,real data
18,2018,,interpolated/extrapolated data,100.0,real data,62208.22225,real data,52.588,real data,100.0,real data,62208.22225,real data,52.588,real data
19,2019,,interpolated/extrapolated data,100.0,real data,62253.86585,real data,52.73499999999999,real data,100.0,real data,62253.86585,real data,52.73499999999999,real data
20,2020,,interpolated/extrapolated data,100.0,real data,56680.36842,real data,52.898000000000025,real data,100.0,real data,56680.36842,real data,52.898000000000025,real data
21,2021,,interpolated/extrapolated data,100.0,real data,58826.27764,real data,53.076000000000015,real data,100.0,real data,58826.27764,real data,53.076000000000015,real data
22,2022,,interpolated/extrapolated data,100.0,real data,71104.62412603744,interpolated/extrapolated data,53.271,real data,100.0,real data,71104.62412603744,interpolated/extrapolated data,53.271,real data
23,2023,,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,93515.40787811234,interpolated/extrapolated data,53.482,real data,99.99999999999996,interpolated/extrapolated data,93515.40787811234,interpolated/extrapolated data,53.482,real data
