,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,29.9907,real data,100.0,real data,3804490.122,real data,78.649,real data,100.0,real data,3804490.122,real data,78.649,real data
1,2001,38.53209999999999,real data,100.0,real data,3809988.055,real data,79.99000000000001,real data,100.0,real data,3809988.055,real data,79.99000000000001,real data
2,2002,46.5942,real data,100.0,real data,3802734.142,real data,81.64699999999999,real data,100.0,real data,3802734.142,real data,81.64699999999999,real data
3,2003,48.4353,real data,100.0,real data,3852857.6749999993,real data,83.19600000000001,real data,100.0,real data,3852857.6749999993,real data,83.19600000000001,real data
4,2004,62.39390000000001,real data,100.0,real data,3935760.512,real data,84.64,real data,100.0,real data,3935760.512,real data,84.64,real data
5,2005,66.9211,real data,100.0,real data,4006381.429999999,real data,85.97799999999998,real data,100.0,real data,4006381.429999999,real data,85.97799999999998,real data
6,2006,68.6853,real data,100.0,real data,4058789.994,real data,87.11799999999998,real data,100.0,real data,4058789.994,real data,87.11799999999998,real data
7,2007,74.30000000000001,real data,100.0,real data,4114290.795,real data,88.146,real data,100.0,real data,4114290.795,real data,88.146,real data
8,2008,75.4,real data,100.0,real data,4061952.492000001,real data,89.103,real data,100.0,real data,4061952.492000001,real data,89.103,real data
9,2009,78.0,real data,100.0,real data,3831174.597,real data,89.989,real data,100.0,real data,3831174.597,real data,89.989,real data
10,2010,78.21,real data,100.0,real data,3987456.7540000007,real data,90.812,real data,100.0,real data,3987456.7540000007,real data,90.812,real data
11,2011,79.05410000000002,real data,100.0,real data,3995800.580000001,real data,91.06900000000002,real data,100.0,real data,3995800.580000001,real data,91.06900000000002,real data
12,2012,79.49640000000001,real data,100.0,real data,4057207.51,real data,91.148,real data,100.0,real data,4057207.51,real data,91.148,real data
13,2013,88.2194,real data,100.0,real data,4144533.67,real data,91.226,real data,100.0,real data,4144533.67,real data,91.226,real data
14,2014,89.10680000000002,real data,100.0,real data,4162329.516,real data,91.304,real data,100.0,real data,4162329.516,real data,91.304,real data
15,2015,91.058,real data,100.0,real data,4231776.532,real data,91.381,real data,100.0,real data,4231776.532,real data,91.381,real data
16,2016,93.1827,real data,100.0,real data,4265857.687000001,real data,91.457,real data,100.0,real data,4265857.687000001,real data,91.457,real data
17,2017,91.72650000000002,real data,100.0,real data,4340877.563,real data,91.535,real data,100.0,real data,4340877.563,real data,91.535,real data
18,2018,88.7464,real data,100.0,real data,4374353.042000001,real data,91.616,real data,100.0,real data,4374353.042000001,real data,91.616,real data
19,2019,92.73040000000002,real data,100.0,real data,4362884.764999999,real data,91.69799999999998,real data,100.0,real data,4362884.764999999,real data,91.69799999999998,real data
20,2020,90.2195,real data,100.0,real data,4194271.9350000015,real data,91.78200000000004,real data,100.0,real data,4194271.9350000015,real data,91.78200000000004,real data
21,2021,82.91410000000002,real data,100.0,real data,4321447.748,real data,91.86700000000002,real data,100.0,real data,4321447.748,real data,91.86700000000002,real data
22,2022,84.9234,real data,100.0,real data,4382113.198000001,real data,91.955,real data,100.0,real data,4382113.198000001,real data,91.955,real data
23,2023,98.54315788093332,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,4477458.468,real data,92.043,real data,99.99999999999996,interpolated/extrapolated data,4477458.468,real data,92.043,real data
