,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,1.78523,real data,55.6,real data,2135.021591,real data,42.958,real data,55.6,real data,2135.021591,real data,42.958,real data
1,2001,2.33746,real data,57.3,real data,2028.474963,real data,43.473000000000006,real data,57.3,real data,2028.474963,real data,43.473000000000006,real data
2,2002,2.5,real data,59.0,real data,2014.806298,real data,43.49199999999999,real data,59.0,real data,2014.806298,real data,43.49199999999999,real data
3,2003,3.0,real data,60.7,real data,1942.823788,real data,43.512,real data,60.7,real data,1942.823788,real data,43.512,real data
4,2004,3.5,real data,62.39999999999999,real data,1892.607879,real data,43.53199999999999,real data,62.39999999999999,real data,1892.607879,real data,43.53199999999999,real data
5,2005,4.0,real data,69.7,real data,1878.936232,real data,43.55099999999999,real data,69.7,real data,1878.9362319999996,real data,43.55099999999999,real data
6,2006,4.499999999999999,real data,68.8,real data,1948.0956,real data,44.030000000000015,real data,68.8,real data,1948.0956,real data,44.030000000000015,real data
7,2007,6.0,real data,67.7,real data,1967.269978,real data,44.86599999999999,real data,67.7,real data,1967.269978,real data,44.86599999999999,real data
8,2008,7.0,real data,69.4,real data,1869.10727,real data,45.70600000000001,real data,69.4,real data,1869.10727,real data,45.70600000000001,real data
9,2009,8.97,real data,64.20000000000002,real data,1839.516186,real data,46.547,real data,64.20000000000002,real data,1839.516186,real data,46.547,real data
10,2010,9.07,real data,63.2,real data,1823.74881,real data,47.39000000000001,real data,63.2,real data,1823.74881,real data,47.39000000000001,real data
11,2011,10.0,real data,74.9,real data,1850.2004170000005,real data,48.235000000000014,real data,74.9,real data,1850.2004170000005,real data,48.235000000000014,real data
12,2012,10.746800000000002,real data,76.70000000000002,real data,1929.0396550000005,real data,49.082,real data,76.70000000000002,real data,1929.0396550000005,real data,49.082,real data
13,2013,11.5,real data,78.80000000000001,real data,2049.80295,real data,49.927,real data,78.80000000000001,real data,2049.80295,real data,49.927,real data
14,2014,12.25,real data,83.4,real data,2048.923794,real data,50.77300000000001,real data,83.4,real data,2048.923794,real data,50.77300000000001,real data
15,2015,14.9,real data,90.6,real data,2250.682912,real data,51.619,real data,90.6,real data,2250.682912,real data,51.619,real data
16,2016,19.419400000000003,real data,92.6,real data,2376.3813770000006,real data,52.45,real data,92.6,real data,2376.3813770000006,real data,52.45,real data
17,2017,25.309600000000003,real data,85.69999999999999,real data,2428.638932,real data,53.26199999999999,real data,85.69999999999999,real data,2428.638932,real data,53.26199999999999,real data
18,2018,32.9864,real data,87.5,real data,2475.9030380000004,real data,54.05699999999999,real data,87.5,real data,2475.9030380000004,real data,54.05699999999999,real data
19,2019,42.99170000000001,real data,89.29999999999998,real data,2518.822174,real data,54.835,real data,89.29999999999998,real data,2518.822174,real data,54.835,real data
20,2020,52.05850000000001,real data,91.0,real data,2461.4050290000005,real data,55.594000000000015,real data,91.0,real data,2461.4050290000005,real data,55.594000000000015,real data
21,2021,54.04939999999999,real data,92.8,real data,2623.78315,real data,56.335000000000015,real data,92.8,real data,2623.78315,real data,56.335000000000015,real data
22,2022,54.4214,real data,94.4,real data,2682.5371730000006,real data,57.05800000000001,real data,94.4,real data,2682.5371730000006,real data,57.05800000000001,real data
23,2023,54.27454432655654,interpolated/extrapolated data,95.75235147376614,interpolated/extrapolated data,2749.743545,real data,57.762,real data,95.75235147376614,interpolated/extrapolated data,2749.743545,real data,57.762,real data
