,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,-10.446199999999848,interpolated/extrapolated data,,interpolated/extrapolated data,926.8825613518056,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,926.8825613518056,interpolated/extrapolated data,,interpolated/extrapolated data
1,2001,-4.896799999999857,interpolated/extrapolated data,,interpolated/extrapolated data,1074.9921534958594,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1074.9921534958594,interpolated/extrapolated data,,interpolated/extrapolated data
2,2002,0.6526000000001346,interpolated/extrapolated data,,interpolated/extrapolated data,1217.8388053718882,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1217.8388053718882,interpolated/extrapolated data,,interpolated/extrapolated data
3,2003,6.202000000000126,interpolated/extrapolated data,,interpolated/extrapolated data,1355.4225169799229,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1355.4225169799229,interpolated/extrapolated data,,interpolated/extrapolated data
4,2004,11.751400000000118,interpolated/extrapolated data,,interpolated/extrapolated data,1487.743288319949,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1487.743288319949,interpolated/extrapolated data,,interpolated/extrapolated data
5,2005,17.30080000000011,interpolated/extrapolated data,,interpolated/extrapolated data,1614.8011193919683,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1614.8011193919683,interpolated/extrapolated data,,interpolated/extrapolated data
6,2006,22.8502000000001,interpolated/extrapolated data,,interpolated/extrapolated data,1736.5960101959831,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1736.5960101959831,interpolated/extrapolated data,,interpolated/extrapolated data
7,2007,28.39960000000009,interpolated/extrapolated data,,interpolated/extrapolated data,1853.1279607319937,interpolated/extrapolated data,,interpolated/extrapolated data,,interpolated/extrapolated data,1853.1279607319937,interpolated/extrapolated data,,interpolated/extrapolated data
8,2008,33.94900000000008,interpolated/extrapolated data,,interpolated/extrapolated data,1964.396971,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,1964.396971,real data,,interpolated/extrapolated data
9,2009,39.49840000000008,interpolated/extrapolated data,,interpolated/extrapolated data,2070.403041,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2070.403041,real data,,interpolated/extrapolated data
10,2010,45.04780000000007,interpolated/extrapolated data,,interpolated/extrapolated data,2179.892472,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2179.892472,real data,,interpolated/extrapolated data
11,2011,50.59720000000006,interpolated/extrapolated data,,interpolated/extrapolated data,2313.510987000001,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2313.510987000001,real data,,interpolated/extrapolated data
12,2012,56.14660000000005,interpolated/extrapolated data,,interpolated/extrapolated data,2333.360319,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2333.360319,real data,,interpolated/extrapolated data
13,2013,61.69600000000004,interpolated/extrapolated data,,interpolated/extrapolated data,2443.118575,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2443.118575,real data,,interpolated/extrapolated data
14,2014,67.24540000000003,interpolated/extrapolated data,,interpolated/extrapolated data,2532.359107,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2532.359107,real data,,interpolated/extrapolated data
15,2015,72.79480000000002,interpolated/extrapolated data,,interpolated/extrapolated data,2718.947152,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2718.947152,real data,,interpolated/extrapolated data
16,2016,78.34420000000001,interpolated/extrapolated data,,interpolated/extrapolated data,2887.728965,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,2887.728965,real data,,interpolated/extrapolated data
17,2017,83.8936,real data,,interpolated/extrapolated data,3004.3466880000005,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3004.3466880000005,real data,,interpolated/extrapolated data
18,2018,89.443,real data,,interpolated/extrapolated data,3096.205468000001,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3096.205468000001,real data,,interpolated/extrapolated data
19,2019,94.9924,interpolated/extrapolated data,,interpolated/extrapolated data,3258.34436,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3258.34436,real data,,interpolated/extrapolated data
20,2020,100.54179999999998,interpolated/extrapolated data,,interpolated/extrapolated data,3082.1671570000003,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3082.1671570000003,real data,,interpolated/extrapolated data
21,2021,106.09119999999996,interpolated/extrapolated data,,interpolated/extrapolated data,3421.148213,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3421.148213,real data,,interpolated/extrapolated data
22,2022,111.64059999999996,interpolated/extrapolated data,,interpolated/extrapolated data,3603.808673,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3603.808673,real data,,interpolated/extrapolated data
23,2023,117.18999999999996,interpolated/extrapolated data,,interpolated/extrapolated data,3775.445437,real data,,interpolated/extrapolated data,,interpolated/extrapolated data,3775.445437,real data,,interpolated/extrapolated data
