,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,6.731400000000001,real data,100.0,real data,10815.267130000002,real data,99.0,real data,100.0,real data,10815.267130000002,real data,99.0,real data
1,2001,8.551790000000004,real data,100.0,real data,10550.06148,real data,99.90800000000002,real data,100.0,real data,10550.06148,real data,99.90800000000002,real data
2,2002,10.249000000000002,real data,100.0,real data,10594.502650000002,real data,100.0,real data,100.0,real data,10594.502650000002,real data,100.0,real data
3,2003,22.4029,real data,100.0,real data,12136.0873,real data,100.0,real data,100.0,real data,12136.0873,real data,100.0,real data
4,2004,22.9271,real data,100.0,real data,13084.6606,real data,100.0,real data,100.0,real data,13084.6606,real data,100.0,real data
5,2005,25.92609999999999,real data,100.0,real data,13958.631749999997,real data,99.99999999999996,real data,100.0,real data,13958.631749999997,real data,99.99999999999996,real data
6,2006,28.7912,real data,100.0,real data,14195.598400000004,real data,100.0,real data,100.0,real data,14195.598400000004,real data,100.0,real data
7,2007,34.8,real data,100.0,real data,14187.281959999997,real data,99.99999999999996,real data,100.0,real data,14187.281959999997,real data,99.99999999999996,real data
8,2008,42.0,real data,100.0,real data,13752.022029999998,real data,100.0,real data,100.0,real data,13752.022029999998,real data,100.0,real data
9,2009,50.8,real data,100.0,real data,12120.36985,real data,100.0,real data,100.0,real data,12120.36985,real data,100.0,real data
10,2010,61.400000000000006,real data,100.0,real data,11238.51183,real data,100.0,real data,100.0,real data,11238.51183,real data,100.0,real data
11,2011,65.76910000000001,real data,100.0,real data,11575.589770000002,real data,100.0,real data,100.0,real data,11575.589770000002,real data,100.0,real data
12,2012,70.45000000000002,real data,100.0,real data,11586.971910000004,real data,100.0,real data,100.0,real data,11586.971910000004,real data,100.0,real data
13,2013,75.45999999999998,real data,100.0,real data,11149.71234,real data,99.99999999999996,real data,100.0,real data,11149.71234,real data,99.99999999999996,real data
14,2014,78.7,real data,100.0,real data,10722.503099999998,real data,100.0,real data,100.0,real data,10722.503099999998,real data,100.0,real data
15,2015,82.00000000000001,real data,100.0,real data,10311.54172,real data,100.0,real data,100.0,real data,10311.54172,real data,100.0,real data
16,2016,85.60000000000002,real data,100.0,real data,10163.929690000004,real data,100.0,real data,100.0,real data,10163.929690000004,real data,100.0,real data
17,2017,98.00000000000004,real data,100.0,real data,9333.659593,real data,100.0,real data,100.0,real data,9333.659593,real data,100.0,real data
18,2018,99.5988,real data,100.0,real data,9215.523368000002,real data,100.0,real data,100.0,real data,9215.523368000002,real data,100.0,real data
19,2019,99.54269999999998,real data,100.0,real data,9172.115705,real data,99.99999999999996,real data,100.0,real data,9172.115705,real data,99.99999999999996,real data
20,2020,99.10590000000003,real data,100.0,real data,8813.681998000004,real data,100.0,real data,100.0,real data,8813.681998000004,real data,100.0,real data
21,2021,99.7,real data,100.0,real data,9094.377467,real data,100.0,real data,100.0,real data,9094.377467,real data,100.0,real data
22,2022,99.8436,real data,100.0,real data,9147.351262,real data,100.0,real data,100.0,real data,9147.351262,real data,100.0,real data
23,2023,99.7473,real data,99.99999999999996,interpolated/extrapolated data,8335.300445,real data,100.0,real data,99.99999999999996,interpolated/extrapolated data,8335.300445,real data,100.0,real data
