,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,6.427070000000001,real data,99.5,real data,5754.1545510000005,real data,66.98600000000002,real data,99.5,real data,5754.1545510000005,real data,66.98600000000002,real data
1,2001,7.17936,real data,99.5,real data,6177.958913,real data,66.91900000000001,real data,99.5,real data,6177.958913,real data,66.91900000000001,real data
2,2002,17.690000000000005,real data,99.4,real data,6646.247953000001,real data,66.828,real data,99.4,real data,6646.247953000001,real data,66.828,real data
3,2003,25.910000000000004,real data,99.4,real data,7407.478830999999,real data,66.737,real data,99.4,real data,7407.478830999999,real data,66.737,real data
4,2004,31.23,real data,99.4,real data,7978.209249000001,real data,66.646,real data,99.4,real data,7978.209249000001,real data,66.646,real data
5,2005,36.21999999999999,real data,99.4,real data,8736.147596,real data,66.63499999999999,real data,99.4,real data,8736.147596,real data,66.63499999999999,real data
6,2006,43.900000000000006,real data,99.4,real data,9533.205358000005,real data,66.70600000000002,real data,99.4,real data,9533.205358000005,real data,66.70600000000002,real data
7,2007,49.89999999999999,real data,99.4,real data,10715.832729999998,real data,66.77699999999999,real data,99.4,real data,10715.832729999998,real data,66.77699999999999,real data
8,2008,55.21999999999999,real data,99.4,real data,11108.045350000002,real data,66.84800000000001,real data,99.4,real data,11108.045350000002,real data,66.84800000000001,real data
9,2009,59.760000000000005,real data,99.5,real data,9565.38713,real data,66.842,real data,99.5,real data,9565.38713,real data,66.842,real data
10,2010,62.11999999999999,real data,99.70000000000002,real data,9809.814863,real data,66.757,real data,99.70000000000002,real data,9809.814863,real data,66.757,real data
11,2011,63.64,real data,99.7,real data,10668.393370000002,real data,66.74100000000001,real data,99.7,real data,10668.393370000002,real data,66.74100000000001,real data
12,2012,67.23000000000002,real data,100.0,real data,11286.34103,real data,66.864,real data,100.0,real data,11286.34103,real data,66.864,real data
13,2013,68.4529,real data,100.0,real data,11862.53389,real data,66.98599999999999,real data,100.0,real data,11862.53389,real data,66.98599999999999,real data
14,2014,72.13350000000001,real data,100.0,real data,12416.35443,real data,67.108,real data,100.0,real data,12416.35443,real data,67.108,real data
15,2015,71.3781,real data,100.0,real data,12888.76902,real data,67.23,real data,100.0,real data,12888.76902,real data,67.23,real data
16,2016,74.3766,real data,100.0,real data,13402.3724,real data,67.366,real data,100.0,real data,13402.3724,real data,67.366,real data
17,2017,77.61529999999999,real data,100.0,real data,14217.95161,real data,67.51599999999999,real data,100.0,real data,14217.95161,real data,67.51599999999999,real data
18,2018,79.72260000000001,real data,100.0,real data,15060.26322,real data,67.67900000000002,real data,100.0,real data,15060.26322,real data,67.67900000000002,real data
19,2019,81.5819,real data,100.0,real data,15806.469759999998,real data,67.855,real data,100.0,real data,15806.469759999998,real data,67.855,real data
20,2020,83.05550000000002,real data,100.0,real data,15809.005020000006,real data,68.04600000000003,real data,100.0,real data,15809.005020000006,real data,68.04600000000003,real data
21,2021,86.93050000000001,real data,100.0,real data,16781.871430000003,real data,68.249,real data,100.0,real data,16781.871430000003,real data,68.249,real data
22,2022,87.7242,real data,100.0,real data,17020.5457,real data,68.465,real data,100.0,real data,17020.5457,real data,68.465,real data
23,2023,88.5029,real data,100.00000005400324,interpolated/extrapolated data,16841.22114,real data,68.694,real data,100.00000005400324,interpolated/extrapolated data,16841.22114,real data,68.694,real data
