,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.126781,real data,4.8,real data,278178.24580000003,real data,14.610000000000005,real data,4.8,real data,278178.24580000003,real data,14.610000000000005,real data
1,2001,0.164021,real data,5.2,real data,258020.32200000004,real data,14.698000000000002,real data,5.2,real data,258020.32200000004,real data,14.698000000000002,real data
2,2002,0.215095,real data,5.599999999999998,real data,256059.1793,real data,14.786,real data,5.599999999999998,real data,256059.1793,real data,14.786,real data
3,2003,0.278815,real data,6.200000000000001,real data,263977.9332,real data,14.875,real data,6.200000000000001,real data,263977.9332,real data,14.875,real data
4,2004,0.3475049999999999,real data,6.9,real data,271181.7603,real data,14.963999999999997,real data,6.9,real data,271181.7603,real data,14.963999999999997,real data
5,2005,0.3844889999999999,real data,6.599999999999999,real data,272645.8180999999,real data,15.053999999999997,real data,6.599999999999999,real data,272645.8180999999,real data,15.053999999999997,real data
6,2006,0.425137,real data,3.7,real data,277702.8924,real data,15.143999999999998,real data,3.7,real data,277702.8924,real data,15.143999999999998,real data
7,2007,0.9658649999999998,real data,7.4,real data,295896.1712999999,real data,15.235,real data,7.4,real data,295896.1712999999,real data,15.235,real data
8,2008,0.7000000000000001,real data,7.8,real data,309384.7644000001,real data,15.326,real data,7.8,real data,309384.7644000001,real data,15.326,real data
9,2009,1.0700000000000005,real data,8.3,real data,325387.22340000013,real data,15.429000000000002,real data,8.3,real data,325387.22340000013,real data,15.429000000000002,real data
10,2010,2.26,real data,8.700000000000001,real data,337653.07719999994,real data,15.544,real data,8.700000000000001,real data,337653.07719999994,real data,15.544,real data
11,2011,3.3300000000000005,real data,7.599999999999999,real data,344129.2272000002,real data,15.672000000000002,real data,7.599999999999999,real data,344129.2272000002,real data,15.672000000000002,real data
12,2012,4.350600000000002,real data,7.4,real data,340744.3681,real data,15.812000000000005,real data,7.4,real data,340744.3681,real data,15.812000000000005,real data
13,2013,5.050000000000001,real data,9.0,real data,349129.2818,real data,15.966,real data,9.0,real data,349129.2818,real data,15.966,real data
14,2014,5.83,real data,11.9,real data,358569.2629,real data,16.132,real data,11.9,real data,358569.2629,real data,16.132,real data
15,2015,6.0,real data,10.8,real data,358597.68010000006,real data,16.313000000000002,real data,10.8,real data,358597.68010000006,real data,16.313000000000002,real data
16,2016,6.300000000000001,real data,11.0,real data,357678.3525000001,real data,16.506,real data,11.0,real data,357678.3525000001,real data,16.506,real data
17,2017,6.999999999999999,real data,12.7,real data,362046.9661000001,real data,16.713999999999995,real data,12.7,real data,362046.9661000001,real data,16.713999999999995,real data
18,2018,7.999999999999999,real data,18.0,real data,367850.5698000001,real data,16.937000000000005,real data,18.0,real data,367850.5698000001,real data,16.937000000000005,real data
19,2019,14.6,real data,11.2,real data,378707.7166999999,real data,17.174000000000003,real data,11.2,real data,378707.7166999999,real data,17.174000000000003,real data
20,2020,22.246600000000004,real data,11.5,real data,371783.605,real data,17.427000000000003,real data,11.5,real data,371783.605,real data,17.427000000000003,real data
21,2021,26.932500000000005,real data,14.2,real data,378775.9784,real data,17.695000000000004,real data,14.2,real data,378775.9784,real data,17.695000000000004,real data
22,2022,27.660900000000005,real data,14.0,real data,372573.5445,real data,17.98,real data,14.0,real data,372573.5445,real data,17.98,real data
23,2023,18.0,real data,10.23993009781084,interpolated/extrapolated data,369987.2776,real data,18.28,real data,10.23993009781084,interpolated/extrapolated data,369987.2776,real data,18.28,real data
