,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,43.9844,real data,100.0,real data,36651.52382000001,real data,76.795,real data,100.0,real data,36651.52382000001,real data,76.795,real data
1,2001,49.3731,real data,100.0,real data,37221.12665,real data,77.83000000000001,real data,100.0,real data,37221.12665,real data,77.83000000000001,real data
2,2002,61.28999999999999,real data,100.0,real data,37075.2061,real data,79.11299999999999,real data,100.0,real data,37075.2061,real data,79.11299999999999,real data
3,2003,64.35,real data,100.0,real data,36936.79273000001,real data,80.341,real data,100.0,real data,36936.79273000001,real data,80.341,real data
4,2004,68.52,real data,100.0,real data,37550.84607,real data,81.51400000000001,real data,100.0,real data,37550.84607,real data,81.51400000000001,real data
5,2005,80.99999999999999,real data,100.0,real data,38225.19385999999,real data,82.62999999999998,real data,100.0,real data,38225.19385999999,real data,82.62999999999998,real data
6,2006,83.70000000000002,real data,100.0,real data,39513.84676000001,real data,83.63600000000001,real data,100.0,real data,39513.84676000001,real data,83.63600000000001,real data
7,2007,85.82,real data,100.0,real data,40959.88723999999,real data,84.53899999999999,real data,100.0,real data,40959.88723999999,real data,84.53899999999999,real data
8,2008,87.42000000000002,real data,100.0,real data,41664.42007000001,real data,85.40200000000002,real data,100.0,real data,41664.42007000001,real data,85.40200000000002,real data
9,2009,89.63000000000001,real data,100.0,real data,39931.40802000001,real data,86.28800000000003,real data,100.0,real data,39931.40802000001,real data,86.28800000000003,real data
10,2010,90.72,real data,100.0,real data,40251.24285,real data,87.13399999999999,real data,100.0,real data,40251.24285,real data,87.13399999999999,real data
11,2011,91.42000000000002,real data,100.0,real data,40774.40854,real data,87.87900000000003,real data,100.0,real data,40774.40854,real data,87.87900000000003,real data
12,2012,92.86,real data,100.0,real data,40226.54883,real data,88.58800000000001,real data,100.0,real data,40226.54883,real data,88.58800000000001,real data
13,2013,93.9564,real data,100.0,real data,40096.00158,real data,89.18699999999998,real data,100.0,real data,40096.00158,real data,89.18699999999998,real data
14,2014,91.6667,real data,100.0,real data,40596.25385,real data,89.69,real data,100.0,real data,40596.25385,real data,89.69,real data
15,2015,91.72410000000004,real data,100.0,real data,41273.80036000001,real data,90.17300000000002,real data,100.0,real data,41273.80036000001,real data,90.17300000000002,real data
16,2016,90.411,real data,100.0,real data,42050.0174,real data,90.63500000000003,real data,100.0,real data,42050.0174,real data,90.63500000000003,real data
17,2017,93.19729999999998,real data,100.0,real data,42964.89577000001,real data,91.077,real data,100.0,real data,42964.89577000001,real data,91.077,real data
18,2018,91.8919,real data,100.0,real data,43679.55557,real data,91.49,real data,100.0,real data,43679.55557,real data,91.49,real data
19,2019,93.2886,real data,100.0,real data,44392.46835,real data,91.876,real data,100.0,real data,44392.46835,real data,91.876,real data
20,2020,91.3333,real data,100.0,real data,42438.96649000001,real data,92.23600000000005,real data,100.0,real data,42438.96649000001,real data,92.23600000000005,real data
21,2021,92.053,real data,100.0,real data,44867.29669,real data,92.57200000000005,real data,100.0,real data,44867.29669,real data,92.57200000000005,real data
22,2022,92.5197,real data,100.0,real data,46666.91447,real data,92.886,real data,100.0,real data,46666.91447,real data,92.886,real data
23,2023,97.0068,real data,99.99999999999996,interpolated/extrapolated data,46241.57922,real data,93.179,real data,99.99999999999996,interpolated/extrapolated data,46241.57922,real data,93.179,real data
