,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,13.9395,real data,100.0,real data,1321437.185,real data,61.919,real data,100.0,real data,1321437.185,real data,61.919,real data
1,2001,18.2371,real data,100.0,real data,1444748.3879411763,interpolated/extrapolated data,62.27600000000002,real data,100.0,real data,1444748.3879411763,interpolated/extrapolated data,62.27600000000002,real data
2,2002,22.3898,real data,100.0,real data,1568059.590882353,interpolated/extrapolated data,62.63199999999999,real data,100.0,real data,1568059.590882353,interpolated/extrapolated data,62.63199999999999,real data
3,2003,26.4083,real data,100.0,real data,1691370.7938235295,interpolated/extrapolated data,62.987,real data,100.0,real data,1691370.7938235295,interpolated/extrapolated data,62.987,real data
4,2004,30.298,real data,100.0,real data,1814681.996764706,interpolated/extrapolated data,63.341,real data,100.0,real data,1814681.996764706,interpolated/extrapolated data,63.341,real data
5,2005,32.359,real data,100.0,real data,1937993.1997058825,interpolated/extrapolated data,63.96499999999999,real data,100.0,real data,1937993.1997058825,interpolated/extrapolated data,63.96499999999999,real data
6,2006,33.5157,real data,100.0,real data,2061304.4026470587,interpolated/extrapolated data,64.638,real data,100.0,real data,2061304.4026470587,interpolated/extrapolated data,64.638,real data
7,2007,35.05,real data,100.0,real data,2184615.605588235,interpolated/extrapolated data,65.30599999999997,real data,100.0,real data,2184615.605588235,interpolated/extrapolated data,65.30599999999997,real data
8,2008,34.510000000000005,real data,100.0,real data,2307926.8085294114,interpolated/extrapolated data,65.96900000000001,real data,100.0,real data,2307926.8085294114,interpolated/extrapolated data,65.96900000000001,real data
9,2009,33.99000000000001,real data,100.0,real data,2431238.011470588,interpolated/extrapolated data,66.62399999999997,real data,100.0,real data,2431238.011470588,interpolated/extrapolated data,66.62399999999997,real data
10,2010,42.0,real data,100.0,real data,2554549.2144117644,interpolated/extrapolated data,67.102,real data,100.0,real data,2554549.2144117644,interpolated/extrapolated data,67.102,real data
11,2011,50.00000000000001,real data,100.0,real data,2677860.417352941,interpolated/extrapolated data,67.56500000000001,real data,100.0,real data,2677860.417352941,interpolated/extrapolated data,67.56500000000001,real data
12,2012,58.0,real data,100.0,real data,2801171.6202941174,interpolated/extrapolated data,68.02400000000002,real data,100.0,real data,2801171.6202941174,interpolated/extrapolated data,68.02400000000002,real data
13,2013,66.0,real data,100.0,real data,2924482.823235294,interpolated/extrapolated data,68.479,real data,100.0,real data,2924482.823235294,interpolated/extrapolated data,68.479,real data
14,2014,69.99999999999999,real data,100.0,real data,3047794.0261764703,interpolated/extrapolated data,68.93100000000001,real data,100.0,real data,3047794.0261764703,interpolated/extrapolated data,68.93100000000001,real data
15,2015,74.0018,real data,100.0,real data,3171105.229117647,interpolated/extrapolated data,69.37900000000002,real data,100.0,real data,3171105.229117647,interpolated/extrapolated data,69.37900000000002,real data
16,2016,78.04725616039248,interpolated/extrapolated data,100.0,real data,3294416.432058824,interpolated/extrapolated data,69.82100000000001,real data,100.0,real data,3294416.4320588238,interpolated/extrapolated data,69.82100000000001,real data
17,2017,82.0058,real data,100.0,real data,3417727.635,real data,70.256,real data,100.0,real data,3417727.635,real data,70.256,real data
18,2018,85.8774315188226,interpolated/extrapolated data,100.0,real data,3554352.704,real data,70.683,real data,100.0,real data,3554352.704,real data,70.683,real data
19,2019,89.6621507168602,interpolated/extrapolated data,100.0,real data,3503788.544,real data,71.104,real data,100.0,real data,3503788.544,real data,71.104,real data
20,2020,93.35995759411291,interpolated/extrapolated data,100.0,real data,3412838.392,real data,71.51800000000003,real data,100.0,real data,3412838.392,real data,71.51800000000003,real data
21,2021,96.97085215058075,interpolated/extrapolated data,100.0,real data,3329009.028,real data,71.925,real data,100.0,real data,3329009.028,real data,71.925,real data
22,2022,100.4948343862635,interpolated/extrapolated data,100.0,real data,3422616.023,real data,72.32499999999999,real data,100.0,real data,3422616.023,real data,72.32499999999999,real data
23,2023,103.93190430116148,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,3516223.018,interpolated/extrapolated data,72.719,real data,99.99999999999996,interpolated/extrapolated data,3516223.018,interpolated/extrapolated data,72.719,real data
