,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,100.0,real data,19687.447168694627,interpolated/extrapolated data,90.15200000000004,real data,100.0,real data,19687.447168694627,interpolated/extrapolated data,90.15200000000004,real data
1,2001,,interpolated/extrapolated data,100.0,real data,20931.857309564875,interpolated/extrapolated data,90.235,real data,100.0,real data,20931.857309564875,interpolated/extrapolated data,90.235,real data
2,2002,,interpolated/extrapolated data,99.9,real data,21818.563,real data,90.31600000000002,real data,99.9,real data,21818.563,real data,90.31600000000002,real data
3,2003,,interpolated/extrapolated data,99.90000000000002,real data,22347.56424,real data,90.398,real data,99.90000000000002,real data,22347.56424,real data,90.398,real data
4,2004,,interpolated/extrapolated data,99.8,real data,22162.09453,real data,90.478,real data,99.8,real data,22162.09453,real data,90.478,real data
5,2005,,interpolated/extrapolated data,99.8,real data,19838.34237,real data,90.558,real data,99.8,real data,19838.34237,real data,90.558,real data
6,2006,,interpolated/extrapolated data,99.7,real data,18984.21278,real data,90.63800000000002,real data,99.7,real data,18984.21278,real data,90.63800000000002,real data
7,2007,,interpolated/extrapolated data,100.0,real data,18238.57756,real data,90.71599999999998,real data,100.0,real data,18238.57756,real data,90.71599999999998,real data
8,2008,,interpolated/extrapolated data,100.0,real data,16727.90901,real data,90.79500000000004,real data,100.0,real data,16727.90901,real data,90.79500000000004,real data
9,2009,,interpolated/extrapolated data,100.0,real data,14243.1089,real data,90.872,real data,100.0,real data,14243.1089,real data,90.872,real data
10,2010,,interpolated/extrapolated data,100.0,real data,14771.40375,real data,90.94899999999998,real data,100.0,real data,14771.40375,real data,90.94899999999998,real data
11,2011,,interpolated/extrapolated data,100.0,real data,13803.909860000002,real data,91.02800000000003,real data,100.0,real data,13803.909860000002,real data,91.02800000000003,real data
12,2012,,interpolated/extrapolated data,100.0,real data,14013.60033,real data,91.10800000000002,real data,100.0,real data,14013.60033,real data,91.10800000000002,real data
13,2013,,interpolated/extrapolated data,100.0,real data,14519.12506,real data,91.18999999999998,real data,100.0,real data,14519.12506,real data,91.18999999999998,real data
14,2014,,interpolated/extrapolated data,100.0,real data,15293.80199,real data,91.273,real data,100.0,real data,15293.80199,real data,91.273,real data
15,2015,,interpolated/extrapolated data,100.0,real data,16015.06387,real data,91.357,real data,100.0,real data,16015.06387,real data,91.357,real data
16,2016,,interpolated/extrapolated data,100.00000000000004,real data,20995.41095,real data,91.44300000000004,real data,100.00000000000004,real data,20995.41095,real data,91.44300000000004,real data
17,2017,,interpolated/extrapolated data,100.0,real data,26281.55087,real data,91.53,real data,100.0,real data,26281.55087,real data,91.53,real data
18,2018,,interpolated/extrapolated data,100.0,real data,21537.583800000004,real data,91.618,real data,100.0,real data,21537.583800000004,real data,91.618,real data
19,2019,,interpolated/extrapolated data,100.0,real data,19447.73421,real data,91.708,real data,100.0,real data,19447.73421,real data,91.708,real data
20,2020,,interpolated/extrapolated data,100.0,real data,13970.712,real data,91.79800000000004,real data,100.0,real data,13970.712,real data,91.79800000000004,real data
21,2021,,interpolated/extrapolated data,100.0,real data,14836.416269999998,real data,91.89,real data,100.0,real data,14836.416269999998,real data,91.89,real data
22,2022,,interpolated/extrapolated data,100.0,real data,17643.99497,real data,91.98300000000002,real data,100.0,real data,17643.99497,real data,91.98300000000002,real data
23,2023,,interpolated/extrapolated data,99.9999999999916,interpolated/extrapolated data,21309.03917325153,interpolated/extrapolated data,92.076,real data,99.9999999999916,interpolated/extrapolated data,21309.039173251535,interpolated/extrapolated data,92.076,real data
