,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.7476310000000003,real data,89.6,real data,20872578.520000003,real data,55.33100000000001,real data,89.6,real data,20872578.520000003,real data,55.33100000000001,real data
1,2001,1.0987900000000002,real data,91.0,real data,20352080.52,real data,55.966,real data,91.0,real data,20352080.52,real data,55.966,real data
2,2002,1.7949700000000006,real data,91.7,real data,20062931.910000004,real data,56.60000000000001,real data,91.7,real data,20062931.910000004,real data,56.60000000000001,real data
3,2003,2.11194,real data,92.6,real data,20673963.51,real data,56.977,real data,92.6,real data,20673963.51,real data,56.977,real data
4,2004,3.45244,real data,93.2,real data,21266293.969999995,real data,57.30499999999999,real data,93.2,real data,21266293.969999995,real data,57.30499999999999,real data
5,2005,7.907009999999998,real data,94.7,real data,21481116.45,real data,57.633,real data,94.7,real data,21481116.45,real data,57.633,real data
6,2006,7.96207,real data,96.70000000000002,real data,22280424.30000001,real data,57.96000000000001,real data,96.70000000000002,real data,22280424.30000001,real data,57.96000000000001,real data
7,2007,11.209999999999996,real data,96.5,real data,23259229.54,real data,58.28599999999999,real data,96.5,real data,23259229.54,real data,58.28599999999999,real data
8,2008,14.27,real data,96.7,real data,24531109.38,real data,58.61200000000001,real data,96.7,real data,24531109.38,real data,58.61200000000001,real data
9,2009,18.9,real data,96.9,real data,24218282.03000001,real data,58.937,real data,96.9,real data,24218282.03000001,real data,58.937,real data
10,2010,19.800000000000004,real data,97.40000000000002,real data,26592435.89,real data,59.26100000000001,real data,97.40000000000002,real data,26592435.89,real data,59.26100000000001,real data
11,2011,24.763500000000008,real data,98.2,real data,27366687.930000007,real data,59.584,real data,98.2,real data,27366687.930000007,real data,59.584,real data
12,2012,29.34,real data,97.79999999999998,real data,26793310.61,real data,59.907,real data,97.79999999999998,real data,26793310.61,real data,59.907,real data
13,2013,36.9,real data,99.0,real data,28600924.590000004,real data,60.197,real data,99.0,real data,28600924.590000004,real data,60.197,real data
14,2014,43.00739999999999,real data,99.0,real data,29683636.09,real data,60.47399999999999,real data,99.0,real data,29683636.09,real data,60.47399999999999,real data
15,2015,49.7163,real data,99.3,real data,30118359.970000003,real data,60.75,real data,99.3,real data,30118359.970000003,real data,60.75,real data
16,2016,53.4041,real data,98.4,real data,30951425.53000001,real data,61.02600000000001,real data,98.4,real data,30951425.53000001,real data,61.02600000000001,real data
17,2017,61.0758,real data,99.3,real data,31981993.3,real data,61.3,real data,99.3,real data,31981993.3,real data,61.3,real data
18,2018,64.9935,real data,99.6,real data,32551159.0,real data,61.585,real data,99.6,real data,32551158.999999996,real data,61.585,real data
19,2019,68.5176,real data,99.7,real data,31984055.6,real data,61.87899999999998,real data,99.7,real data,31984055.6,real data,61.87899999999998,real data
20,2020,73.95750000000002,real data,99.7,real data,31295865.130000006,real data,62.18300000000001,real data,99.7,real data,31295865.130000006,real data,62.18300000000001,real data
21,2021,77.01840000000003,real data,100.0,real data,32161168.720000003,real data,62.49600000000001,real data,100.0,real data,32161168.720000003,real data,62.49600000000001,real data
22,2022,76.2592,real data,100.0,real data,31854253.89,real data,62.818,real data,100.0,real data,31854253.89,real data,62.818,real data
23,2023,78.0948,real data,99.58499834634227,interpolated/extrapolated data,32948067.01,real data,63.149,real data,99.58499834634227,interpolated/extrapolated data,32948067.01,real data,63.149,real data
