,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,4.86368,real data,100.0,real data,209701.4428,real data,96.31100000000002,real data,100.0,real data,209701.4428,real data,96.31100000000002,real data
1,2001,6.17027,real data,100.0,real data,207290.8081,real data,96.50600000000004,real data,100.0,real data,207290.8081,real data,96.50600000000004,real data
2,2002,10.226100000000002,real data,100.0,real data,211782.1556000001,real data,96.692,real data,100.0,real data,211782.1556000001,real data,96.692,real data
3,2003,19.2423,real data,100.0,real data,209785.5855,real data,96.868,real data,100.0,real data,209785.58549999996,real data,96.868,real data
4,2004,20.7016,real data,100.0,real data,240838.3736,real data,97.08999999999996,real data,100.0,real data,240838.37359999996,real data,97.08999999999996,real data
5,2005,24.7335,real data,100.0,real data,242550.5149999999,real data,97.396,real data,100.0,real data,242550.5149999999,real data,97.396,real data
6,2006,28.9741,real data,100.0,real data,259651.25280000007,real data,97.67100000000002,real data,100.0,real data,259651.25280000007,real data,97.67100000000002,real data
7,2007,37.00000000000001,real data,100.0,real data,246590.4454,real data,97.91699999999996,real data,100.0,real data,246590.4454,real data,97.91699999999996,real data
8,2008,44.3,real data,100.0,real data,245750.21440000003,real data,98.13900000000004,real data,100.0,real data,245750.21440000003,real data,98.13900000000004,real data
9,2009,53.10000000000001,real data,100.0,real data,244016.22130000003,real data,98.33599999999998,real data,100.0,real data,244016.22130000003,real data,98.33599999999998,real data
10,2010,69.0,real data,100.0,real data,290393.56999999995,real data,98.501,real data,100.0,real data,290393.56999999995,real data,98.501,real data
11,2011,69.0,real data,100.0,real data,327627.52560000005,real data,98.60200000000002,real data,100.0,real data,327627.52560000005,real data,98.60200000000002,real data
12,2012,69.3,real data,100.0,real data,323666.2545,real data,98.697,real data,100.0,real data,323666.2545,real data,98.697,real data
13,2013,85.3,real data,100.0,real data,307066.23059999995,real data,98.785,real data,100.0,real data,307066.23059999995,real data,98.785,real data
14,2014,91.49,real data,100.0,real data,288073.4403,real data,98.868,real data,100.0,real data,288073.4403,real data,98.868,real data
15,2015,92.8848,real data,100.0,real data,276949.8465000001,real data,98.94499999999998,real data,100.0,real data,276949.8465000001,real data,98.94499999999998,real data
16,2016,95.12470000000002,real data,100.0,real data,270161.7795,real data,99.015,real data,100.0,real data,270161.7795,real data,99.015,real data
17,2017,97.3888,real data,100.0,real data,258933.8473,real data,99.07800000000002,real data,100.0,real data,258933.8473,real data,99.07800000000002,real data
18,2018,99.6528,real data,100.0,real data,258585.0506,real data,99.135,real data,100.0,real data,258585.0506,real data,99.135,real data
19,2019,99.6528,real data,100.0,real data,254649.2908,real data,99.188,real data,100.0,real data,254649.2908,real data,99.188,real data
20,2020,99.6528,real data,100.0,real data,231923.09400000004,real data,99.23500000000004,real data,100.0,real data,231923.09400000004,real data,99.23500000000004,real data
21,2021,100.0,real data,100.0,real data,262911.58670000004,real data,99.27800000000002,real data,100.0,real data,262911.58670000004,real data,99.27800000000002,real data
22,2022,100.0,real data,100.0,real data,258202.89570000005,real data,99.318,real data,100.0,real data,258202.89570000005,real data,99.318,real data
23,2023,99.53687030060104,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,261396.1535,real data,99.354,real data,99.99999999999996,interpolated/extrapolated data,261396.1535,real data,99.354,real data
