,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,1.9772300000000005,real data,97.8,real data,333638.71880000003,real data,73.35,real data,97.8,real data,333638.71880000003,real data,73.35,real data
1,2001,2.944370000000001,real data,97.9,real data,352144.71879999986,real data,73.34600000000003,real data,97.9,real data,352144.71879999986,real data,73.34600000000003,real data
2,2002,4.12827,real data,97.9,real data,370395.5,real data,73.34100000000001,real data,97.9,real data,370395.5,real data,73.34100000000001,real data
3,2003,8.298859999999998,real data,97.9,real data,399241.7813,real data,73.373,real data,97.9,real data,399241.7813,real data,73.373,real data
4,2004,12.859400000000004,real data,98.0,real data,429713.875,real data,73.41799999999998,real data,98.0,real data,429713.875,real data,73.41799999999998,real data
5,2005,15.226699999999992,real data,98.00000000000004,real data,458962.8124999999,real data,73.46299999999997,real data,98.00000000000004,real data,458962.8124999999,real data,73.46299999999997,real data
6,2006,18.0233,real data,98.1,real data,498226.8125,real data,73.508,real data,98.1,real data,498226.8125,real data,73.508,real data
7,2007,24.66,real data,98.2,real data,541501.625,real data,73.553,real data,98.2,real data,541501.625,real data,73.553,real data
8,2008,32.00000000000001,real data,98.3,real data,569909.9375000001,real data,73.59800000000001,real data,98.3,real data,569909.9375000001,real data,73.59800000000001,real data
9,2009,42.55,real data,98.40000000000002,real data,525298.8125000001,real data,73.642,real data,98.40000000000002,real data,525298.8125000001,real data,73.642,real data
10,2010,49.0,real data,99.3,real data,548690.875,real data,73.68699999999998,real data,99.3,real data,548690.875,real data,73.68699999999998,real data
11,2011,58.00000000000001,real data,99.2,real data,571609.5625000002,real data,73.732,real data,99.2,real data,571609.5625000002,real data,73.732,real data
12,2012,66.00000000000001,real data,100.0,real data,593117.6250000001,real data,73.79100000000001,real data,100.0,real data,593117.6250000001,real data,73.79100000000001,real data
13,2013,67.96999999999998,real data,100.00000000000004,real data,601736.4999999999,real data,73.863,real data,100.00000000000004,real data,601736.4999999999,real data,73.863,real data
14,2014,70.51759999999999,real data,100.0,real data,594985.3749999999,real data,73.95,real data,100.0,real data,594985.3749999999,real data,73.95,real data
15,2015,70.09920000000001,real data,95.5,real data,581442.25,real data,74.05000000000001,real data,95.5,real data,581442.25,real data,74.05000000000001,real data
16,2016,73.09140000000001,real data,99.4,real data,580916.125,real data,74.16400000000002,real data,99.4,real data,580916.125,real data,74.16400000000002,real data
17,2017,76.0081,real data,100.0,real data,590291.3749999999,real data,74.29200000000003,real data,100.0,real data,590291.3749999999,real data,74.29200000000003,real data
18,2018,80.8647,real data,100.0,real data,606327.1875,real data,74.43300000000002,real data,100.0,real data,606327.1875,real data,74.43300000000002,real data
19,2019,82.6422,real data,99.8,real data,619314.875,real data,74.587,real data,99.8,real data,619314.875,real data,74.587,real data
20,2020,84.99470000000002,real data,99.9,real data,603666.0,real data,74.75400000000005,real data,99.9,real data,603666.0,real data,74.75400000000005,real data
21,2021,88.21380000000002,real data,100.0,real data,639677.9375000001,real data,74.93400000000001,real data,100.0,real data,639677.9375000001,real data,74.93400000000001,real data
22,2022,90.418,real data,100.0,real data,628591.125,real data,75.12600000000002,real data,100.0,real data,628591.125,real data,75.12600000000002,real data
23,2023,92.245,real data,99.8946124524478,interpolated/extrapolated data,653066.0625,real data,75.331,real data,99.8946124524478,interpolated/extrapolated data,653066.0625,real data,75.331,real data
