,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.403967,real data,37.7,real data,613250.9462,real data,40.32000000000001,real data,37.7,real data,613250.9462,real data,40.32000000000001,real data
1,2001,0.983794,real data,38.9,real data,624361.6346000001,real data,40.464,real data,38.9,real data,624361.6346000001,real data,40.464,real data
2,2002,1.00645,real data,36.8,real data,609671.2380000001,real data,40.60700000000001,real data,36.8,real data,609671.2380000001,real data,40.60700000000001,real data
3,2003,2.1014400000000006,real data,41.900000000000006,real data,628466.2092,real data,40.898,real data,41.900000000000006,real data,628466.2092,real data,40.898,real data
4,2004,4.38602,real data,36.8,real data,642396.8061,real data,41.30599999999999,real data,36.8,real data,642396.8061,real data,41.30599999999999,real data
5,2005,4.78668,real data,47.1,real data,654593.0288999999,real data,41.714,real data,47.1,real data,654593.0288999999,real data,41.714,real data
6,2006,5.611739999999999,real data,49.89999999999999,real data,654436.5609,real data,42.12400000000001,real data,49.89999999999999,real data,654436.5609,real data,42.12400000000001,real data
7,2007,6.890000000000001,real data,48.1,real data,657487.4340999998,real data,42.53499999999999,real data,48.1,real data,657487.4340999998,real data,42.53499999999999,real data
8,2008,7.120000000000001,real data,49.7,real data,666068.8360000001,real data,42.947,real data,49.7,real data,666068.8360000001,real data,42.947,real data
9,2009,7.500000000000001,real data,53.50000000000001,real data,668399.4873,real data,43.359,real data,53.50000000000001,real data,668399.4873,real data,43.359,real data
10,2010,8.0,real data,56.50000000000001,real data,674764.4525,real data,43.77300000000001,real data,56.50000000000001,real data,674764.4525,real data,43.77300000000001,real data
11,2011,9.8,real data,56.5,real data,666698.0356000001,real data,44.18800000000002,real data,56.5,real data,666698.0356000001,real data,44.18800000000002,real data
12,2012,10.8,real data,56.5,real data,675070.0726000001,real data,44.603,real data,56.5,real data,675070.0726000001,real data,44.603,real data
13,2013,13.1,real data,57.0,real data,671167.9277999998,real data,45.01899999999999,real data,57.0,real data,671167.9277999998,real data,45.01899999999999,real data
14,2014,17.7,real data,61.0,real data,690712.8708,real data,45.436,real data,61.0,real data,690712.8708,real data,45.436,real data
15,2015,21.7,real data,60.5,real data,712477.5009,real data,45.862,real data,60.5,real data,712477.5009,real data,45.862,real data
16,2016,25.6648,real data,64.5,real data,735526.4025000001,real data,46.29600000000001,real data,64.5,real data,735526.4025000001,real data,46.29600000000001,real data
17,2017,29.643100000000004,real data,61.70000000000001,real data,767523.5349,real data,46.74000000000001,real data,61.70000000000001,real data,767523.5349,real data,46.74000000000001,real data
18,2018,35.3,real data,66.0,real data,792668.8221999998,real data,47.192,real data,66.0,real data,792668.8221999998,real data,47.192,real data
19,2019,43.4,real data,70.4,real data,807007.5900999999,real data,47.65299999999999,real data,70.4,real data,807007.5900999999,real data,47.65299999999999,real data
20,2020,53.308800000000005,real data,64.3,real data,796585.2813000006,real data,48.12200000000003,real data,64.3,real data,796585.2813000006,real data,48.12200000000003,real data
21,2021,54.97410000000001,real data,68.0,real data,827440.4752000005,real data,48.6,real data,68.0,real data,827440.4752000005,real data,48.6,real data
22,2022,59.9832,real data,67.9,real data,838157.1937,real data,49.08599999999999,real data,67.9,real data,838157.1937,real data,49.08599999999999,real data
23,2023,70.61646340765003,interpolated/extrapolated data,61.02396247674555,interpolated/extrapolated data,855899.3671,real data,49.579,real data,61.02396247674555,interpolated/extrapolated data,855899.3671,real data,49.579,real data
