,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,100.0,real data,113968.99202692905,interpolated/extrapolated data,100.0,real data,100.0,real data,113968.99202692905,interpolated/extrapolated data,100.0,real data
1,2001,,interpolated/extrapolated data,99.9,real data,103654.59905954287,interpolated/extrapolated data,100.0,real data,99.9,real data,103654.59905954287,interpolated/extrapolated data,100.0,real data
2,2002,,interpolated/extrapolated data,99.9,real data,94659.73969964462,interpolated/extrapolated data,100.0,real data,99.9,real data,94659.73969964462,interpolated/extrapolated data,100.0,real data
3,2003,,interpolated/extrapolated data,99.8,real data,86984.41394723346,interpolated/extrapolated data,100.0,real data,99.8,real data,86984.41394723346,interpolated/extrapolated data,100.0,real data
4,2004,,interpolated/extrapolated data,99.8,real data,80628.62180230947,interpolated/extrapolated data,100.0,real data,99.8,real data,80628.62180230947,interpolated/extrapolated data,100.0,real data
5,2005,,interpolated/extrapolated data,99.7,real data,75592.3632648731,interpolated/extrapolated data,100.0,real data,99.7,real data,75592.3632648731,interpolated/extrapolated data,100.0,real data
6,2006,,interpolated/extrapolated data,99.7,real data,71875.63833492371,interpolated/extrapolated data,100.0,real data,99.7,real data,71875.63833492371,interpolated/extrapolated data,100.0,real data
7,2007,,interpolated/extrapolated data,99.7,real data,69478.44701246185,interpolated/extrapolated data,100.00000000000004,real data,99.7,real data,69478.44701246185,interpolated/extrapolated data,100.00000000000004,real data
8,2008,,interpolated/extrapolated data,99.7,real data,68400.78929748727,interpolated/extrapolated data,100.0,real data,99.7,real data,68400.78929748727,interpolated/extrapolated data,100.0,real data
9,2009,,interpolated/extrapolated data,99.7,real data,68642.66519,real data,100.0,real data,99.7,real data,68642.66519,real data,100.0,real data
10,2010,,interpolated/extrapolated data,100.0,real data,70204.07469,real data,100.0,real data,100.0,real data,70204.07469,real data,100.0,real data
11,2011,,interpolated/extrapolated data,100.0,real data,72419.83541,real data,100.0,real data,100.0,real data,72419.83541,real data,100.0,real data
12,2012,,interpolated/extrapolated data,100.0,real data,71841.88676,real data,100.00000000000004,real data,100.0,real data,71841.88676,real data,100.00000000000004,real data
13,2013,,interpolated/extrapolated data,100.0,real data,71093.80543,real data,100.0,real data,100.0,real data,71093.80543,real data,100.0,real data
14,2014,,interpolated/extrapolated data,100.0,real data,70606.48997,real data,100.0,real data,100.0,real data,70606.48997,real data,100.0,real data
15,2015,,interpolated/extrapolated data,100.0,real data,69174.0546,real data,100.0,real data,100.0,real data,69174.0546,real data,100.0,real data
16,2016,,interpolated/extrapolated data,100.0,real data,68422.84766000001,real data,100.0,real data,100.0,real data,68422.84766000001,real data,100.0,real data
17,2017,,interpolated/extrapolated data,100.0,real data,62055.10822,real data,100.0,real data,100.0,real data,62055.10822,real data,100.0,real data
18,2018,,interpolated/extrapolated data,100.0,real data,56757.87671000001,real data,99.99999999999996,real data,100.0,real data,56757.87671000001,real data,99.99999999999996,real data
19,2019,,interpolated/extrapolated data,100.0,real data,61931.81874,real data,100.0,real data,100.0,real data,61931.81874,real data,100.0,real data
20,2020,,interpolated/extrapolated data,100.0,real data,52868.906070000005,real data,100.00000000000004,real data,100.0,real data,52868.906070000005,real data,100.00000000000004,real data
21,2021,,interpolated/extrapolated data,100.0,real data,54540.24681,real data,100.0,real data,100.0,real data,54540.24681,real data,100.0,real data
22,2022,,interpolated/extrapolated data,100.0,real data,59077.98714,real data,100.0,real data,100.0,real data,59077.98714,real data,100.0,real data
23,2023,,interpolated/extrapolated data,100.00000000156172,interpolated/extrapolated data,60447.91264,real data,100.0,real data,100.00000000156172,interpolated/extrapolated data,60447.91264,real data,100.0,real data
