,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,-2.999999999999999,interpolated/extrapolated data,57.51169704211063,interpolated/extrapolated data,3001.0256120000013,interpolated/extrapolated data,16.504,real data,57.51169704211063,interpolated/extrapolated data,3001.0256120000013,interpolated/extrapolated data,16.504,real data
1,2001,-2.5999999999999988,interpolated/extrapolated data,42.95877278158299,interpolated/extrapolated data,3007.178267000001,interpolated/extrapolated data,16.632,real data,42.95877278158299,interpolated/extrapolated data,3007.178267000001,interpolated/extrapolated data,16.632,real data
2,2002,-2.1999999999999984,interpolated/extrapolated data,30.55626627255928,interpolated/extrapolated data,3013.330922000001,interpolated/extrapolated data,16.761,real data,30.556266272559277,interpolated/extrapolated data,3013.330922000001,interpolated/extrapolated data,16.761,real data
3,2003,-1.799999999999999,interpolated/extrapolated data,20.30417751503952,interpolated/extrapolated data,3019.483577000001,interpolated/extrapolated data,16.891,real data,20.30417751503952,interpolated/extrapolated data,3019.483577000001,interpolated/extrapolated data,16.891,real data
4,2004,-1.399999999999999,interpolated/extrapolated data,12.20250650902371,interpolated/extrapolated data,3025.6362320000007,interpolated/extrapolated data,17.023,real data,12.20250650902371,interpolated/extrapolated data,3025.6362320000007,interpolated/extrapolated data,17.023,real data
5,2005,-0.9999999999999992,interpolated/extrapolated data,6.2512532545118535,interpolated/extrapolated data,3031.7888870000006,interpolated/extrapolated data,17.153999999999996,real data,6.2512532545118535,interpolated/extrapolated data,3031.7888870000006,interpolated/extrapolated data,17.153999999999996,real data
6,2006,-0.5999999999999992,interpolated/extrapolated data,2.450417751503952,interpolated/extrapolated data,3037.9415420000005,interpolated/extrapolated data,17.287,real data,2.450417751503952,interpolated/extrapolated data,3037.9415420000005,interpolated/extrapolated data,17.287,real data
7,2007,-0.1999999999999993,interpolated/extrapolated data,0.8,real data,3044.0941970000003,interpolated/extrapolated data,17.419999999999998,real data,0.8,real data,3044.0941970000003,interpolated/extrapolated data,17.419999999999998,real data
8,2008,0.2000000000000006,interpolated/extrapolated data,1.3000000000000005,real data,3050.246852,real data,17.555000000000003,real data,1.3000000000000005,real data,3050.246852,real data,17.555000000000003,real data
9,2009,0.6000000000000005,interpolated/extrapolated data,3.0,real data,3056.399507,real data,17.701,real data,3.0,real data,3056.399507,real data,17.701,real data
10,2010,1.0000000000000004,interpolated/extrapolated data,1.5,real data,3058.089855,real data,17.86,real data,1.5,real data,3058.089855,real data,17.86,real data
11,2011,1.4000000000000004,interpolated/extrapolated data,2.8,real data,2762.509612,real data,18.032,real data,2.8,real data,2762.509612,real data,18.032,real data
12,2012,1.8000000000000005,interpolated/extrapolated data,3.3,real data,1424.661406,real data,18.217,real data,3.3,real data,1424.661406,real data,18.217,real data
13,2013,2.2,real data,3.8,real data,1552.532066,real data,18.415,real data,3.8,real data,1552.532066,real data,18.415,real data
14,2014,2.6,real data,4.300000000000001,real data,1595.081376,real data,18.626,real data,4.300000000000001,real data,1595.081376,real data,18.626,real data
15,2015,3.0,real data,4.8,real data,1439.253172,real data,18.852000000000004,real data,4.8,real data,1439.253172,real data,18.852000000000004,real data
16,2016,3.5,real data,5.300000000000001,real data,1283.4249679999998,interpolated/extrapolated data,19.092,real data,5.300000000000001,real data,1283.4249679999998,interpolated/extrapolated data,19.092,real data
17,2017,4.1,real data,4.2,real data,1127.5967639999997,interpolated/extrapolated data,19.346,real data,4.2,real data,1127.5967639999997,interpolated/extrapolated data,19.346,real data
18,2018,4.8,real data,6.299999999999999,real data,971.7685599999996,interpolated/extrapolated data,19.615,real data,6.299999999999999,real data,971.7685599999996,interpolated/extrapolated data,19.615,real data
19,2019,6.7,real data,6.8,real data,815.9403559999994,interpolated/extrapolated data,19.899,real data,6.8,real data,815.9403559999994,interpolated/extrapolated data,19.899,real data
20,2020,9.27123,real data,7.3,real data,660.1121519999992,interpolated/extrapolated data,20.19900000000001,real data,7.3,real data,660.1121519999992,interpolated/extrapolated data,20.19900000000001,real data
21,2021,9.64241,real data,7.700000000000001,real data,504.2839479999991,interpolated/extrapolated data,20.514,real data,7.700000000000001,real data,504.2839479999991,interpolated/extrapolated data,20.514,real data
22,2022,12.1407,real data,8.4,real data,348.45574399999896,interpolated/extrapolated data,20.846,real data,8.4,real data,348.45574399999896,interpolated/extrapolated data,20.846,real data
23,2023,14.638990000000002,interpolated/extrapolated data,9.484567765071516,interpolated/extrapolated data,192.6275399999988,interpolated/extrapolated data,21.195,real data,9.484567765071516,interpolated/extrapolated data,192.6275399999988,interpolated/extrapolated data,21.195,real data
