,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,100.0,real data,12888.705160000018,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,12888.705160000018,interpolated/extrapolated data,,interpolated/extrapolated data
1,2001,,interpolated/extrapolated data,99.9,real data,13078.134860000016,interpolated/extrapolated data,,interpolated/extrapolated data,99.9,real data,13078.134860000016,interpolated/extrapolated data,,interpolated/extrapolated data
2,2002,,interpolated/extrapolated data,99.9,real data,13267.564560000015,interpolated/extrapolated data,,interpolated/extrapolated data,99.9,real data,13267.564560000015,interpolated/extrapolated data,,interpolated/extrapolated data
3,2003,,interpolated/extrapolated data,99.8,real data,13456.994260000014,interpolated/extrapolated data,,interpolated/extrapolated data,99.8,real data,13456.994260000014,interpolated/extrapolated data,,interpolated/extrapolated data
4,2004,,interpolated/extrapolated data,99.8,real data,13646.423960000013,interpolated/extrapolated data,,interpolated/extrapolated data,99.8,real data,13646.423960000013,interpolated/extrapolated data,,interpolated/extrapolated data
5,2005,,interpolated/extrapolated data,99.7,real data,13835.853660000012,interpolated/extrapolated data,,interpolated/extrapolated data,99.7,real data,13835.853660000012,interpolated/extrapolated data,,interpolated/extrapolated data
6,2006,,interpolated/extrapolated data,99.7,real data,14025.28336000001,interpolated/extrapolated data,,interpolated/extrapolated data,99.7,real data,14025.28336000001,interpolated/extrapolated data,,interpolated/extrapolated data
7,2007,,interpolated/extrapolated data,99.7,real data,14214.71306000001,interpolated/extrapolated data,,interpolated/extrapolated data,99.7,real data,14214.71306000001,interpolated/extrapolated data,,interpolated/extrapolated data
8,2008,,interpolated/extrapolated data,99.7,real data,14404.142760000008,interpolated/extrapolated data,,interpolated/extrapolated data,99.7,real data,14404.142760000008,interpolated/extrapolated data,,interpolated/extrapolated data
9,2009,,interpolated/extrapolated data,99.7,real data,14593.572460000009,interpolated/extrapolated data,,interpolated/extrapolated data,99.7,real data,14593.572460000009,interpolated/extrapolated data,,interpolated/extrapolated data
10,2010,,interpolated/extrapolated data,100.0,real data,14783.002160000004,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,14783.002160000004,interpolated/extrapolated data,,interpolated/extrapolated data
11,2011,,interpolated/extrapolated data,100.0,real data,14972.431860000004,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,14972.431860000004,interpolated/extrapolated data,,interpolated/extrapolated data
12,2012,,interpolated/extrapolated data,100.0,real data,15161.861560000005,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,15161.861560000005,interpolated/extrapolated data,,interpolated/extrapolated data
13,2013,,interpolated/extrapolated data,100.0,real data,15351.291260000002,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,15351.291260000002,interpolated/extrapolated data,,interpolated/extrapolated data
14,2014,,interpolated/extrapolated data,100.0,real data,15540.72096,real data,,interpolated/extrapolated data,100.0,real data,15540.72096,real data,,interpolated/extrapolated data
15,2015,,interpolated/extrapolated data,100.0,real data,15730.15066,real data,,interpolated/extrapolated data,100.0,real data,15730.15066,real data,,interpolated/extrapolated data
16,2016,,interpolated/extrapolated data,100.0,real data,16602.85138,real data,,interpolated/extrapolated data,100.0,real data,16602.85138,real data,,interpolated/extrapolated data
17,2017,,interpolated/extrapolated data,100.0,real data,15414.7759,real data,,interpolated/extrapolated data,100.0,real data,15414.7759,real data,,interpolated/extrapolated data
18,2018,,interpolated/extrapolated data,100.0,real data,14506.48117,real data,,interpolated/extrapolated data,100.0,real data,14506.48117,real data,,interpolated/extrapolated data
19,2019,,interpolated/extrapolated data,100.0,real data,16236.14264,real data,,interpolated/extrapolated data,100.0,real data,16236.14264,real data,,interpolated/extrapolated data
20,2020,,interpolated/extrapolated data,100.0,real data,15315.49739,real data,,interpolated/extrapolated data,100.0,real data,15315.49739,real data,,interpolated/extrapolated data
21,2021,,interpolated/extrapolated data,100.0,real data,17044.57461,real data,,interpolated/extrapolated data,100.0,real data,17044.57461,real data,,interpolated/extrapolated data
22,2022,,interpolated/extrapolated data,100.0,real data,18773.65183,interpolated/extrapolated data,,interpolated/extrapolated data,100.0,real data,18773.65183,interpolated/extrapolated data,,interpolated/extrapolated data
23,2023,,interpolated/extrapolated data,100.00000000156172,interpolated/extrapolated data,20502.72905,interpolated/extrapolated data,,interpolated/extrapolated data,100.00000000156172,interpolated/extrapolated data,20502.72905,interpolated/extrapolated data,,interpolated/extrapolated data
