,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,3.24504,real data,80.0,real data,14098.585580000004,real data,45.18600000000001,real data,80.0,real data,14098.585580000004,real data,45.18600000000001,real data
1,2001,5.094809999999999,real data,82.4,real data,14350.622460000002,real data,45.54800000000001,real data,82.4,real data,14350.622460000002,real data,45.54800000000001,real data
2,2002,5.549590000000001,real data,82.4,real data,15137.790150000004,real data,45.91400000000001,real data,82.4,real data,15137.790150000004,real data,45.91400000000001,real data
3,2003,6.462270000000001,real data,83.70000000000002,real data,16180.11685,real data,46.283,real data,83.70000000000002,real data,16180.11685,real data,46.283,real data
4,2004,7.371170000000001,real data,84.90000000000002,real data,16891.564669999996,real data,46.65599999999999,real data,84.90000000000002,real data,16891.564669999996,real data,46.65599999999999,real data
5,2005,9.19828,real data,86.2,real data,17371.192529999993,real data,47.03199999999999,real data,86.2,real data,17371.192529999993,real data,47.03199999999999,real data
6,2006,12.0,real data,87.5,real data,18658.988160000004,real data,47.412000000000006,real data,87.5,real data,18658.988160000004,real data,47.412000000000006,real data
7,2007,16.0,real data,88.80000000000001,real data,19362.51087,real data,47.79399999999998,real data,88.80000000000001,real data,19362.51087,real data,47.79399999999998,real data
8,2008,21.0,real data,90.1,real data,19528.934140000005,real data,48.18000000000002,real data,90.1,real data,19528.934140000005,real data,48.18000000000002,real data
9,2009,31.000000000000004,real data,91.40000000000002,real data,19350.41535,real data,48.569,real data,91.40000000000002,real data,19350.41535,real data,48.569,real data
10,2010,33.7,real data,92.7,real data,18577.6544,real data,48.961,real data,92.7,real data,18577.6544,real data,48.961,real data
11,2011,36.7,real data,94.1,real data,18568.028970000003,real data,49.35600000000001,real data,94.1,real data,18568.028970000003,real data,49.35600000000001,real data
12,2012,40.0,real data,95.4,real data,18891.011260000007,real data,49.754,real data,95.4,real data,18891.011260000007,real data,49.754,real data
13,2013,43.5,real data,96.8,real data,19463.77861,real data,50.154,real data,96.8,real data,19463.77861,real data,50.154,real data
14,2014,47.4,real data,98.1,real data,19817.082810000004,real data,50.55799999999999,real data,98.1,real data,19817.082810000004,real data,50.55799999999999,real data
15,2015,49.4,real data,99.4,real data,20478.122660000005,real data,50.964,real data,99.4,real data,20478.122660000005,real data,50.964,real data
16,2016,51.5,real data,99.70000000000002,real data,21449.661020000003,real data,51.373000000000005,real data,99.70000000000002,real data,21449.661020000003,real data,51.373000000000005,real data
17,2017,53.70000000000001,real data,100.0,real data,21901.70637,real data,51.784,real data,100.0,real data,21901.70637,real data,51.784,real data
18,2018,55.99999999999999,real data,100.0,real data,22755.942280000003,real data,52.19799999999999,real data,100.0,real data,22755.942280000003,real data,52.19799999999999,real data
19,2019,73.9683,real data,100.0,real data,23073.43017,real data,52.61399999999999,real data,100.0,real data,23073.43017,real data,52.61399999999999,real data
20,2020,77.42690000000002,real data,100.0,real data,22348.20238000001,real data,53.03200000000001,real data,100.0,real data,22348.20238000001,real data,53.03200000000001,real data
21,2021,78.72280000000002,real data,100.0,real data,22666.640740000003,real data,53.45199999999999,real data,100.0,real data,22666.640740000003,real data,53.45199999999999,real data
22,2022,77.7418,real data,100.0,real data,24478.76448,real data,53.875,real data,100.0,real data,24478.76448,real data,53.875,real data
23,2023,73.93494636767909,interpolated/extrapolated data,99.9996654397914,interpolated/extrapolated data,26136.61262,real data,54.299,real data,99.9996654397914,interpolated/extrapolated data,26136.61262,real data,54.299,real data
