,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,45.68770000000001,real data,100.0,real data,350561.23570000014,real data,84.02600000000001,real data,100.0,real data,350561.23570000014,real data,84.02600000000001,real data
1,2001,51.76570000000001,real data,100.0,real data,354378.8758999999,real data,84.071,real data,100.0,real data,354378.8758999999,real data,84.071,real data
2,2002,70.57,real data,100.0,real data,361272.8268,real data,84.13299999999998,real data,100.0,real data,361272.8268,real data,84.13299999999998,real data
3,2003,79.13000000000001,real data,100.0,real data,366701.156,real data,84.19599999999998,real data,100.0,real data,366701.156,real data,84.19599999999998,real data
4,2004,83.88999999999999,real data,100.0,real data,380527.9826,real data,84.258,real data,100.0,real data,380527.9826,real data,84.258,real data
5,2005,84.82999999999996,real data,100.0,real data,389595.5229999999,real data,84.31899999999997,real data,100.0,real data,389595.5229999999,real data,84.31899999999997,real data
6,2006,87.76,real data,100.0,real data,405525.5614,real data,84.43,real data,100.0,real data,405525.5614,real data,84.43,real data
7,2007,82.01,real data,100.0,real data,415510.7182,real data,84.58799999999998,real data,100.0,real data,415510.7182,real data,84.58799999999998,real data
8,2008,90.00000000000003,real data,100.0,real data,408480.417,real data,84.746,real data,100.0,real data,408480.417,real data,84.746,real data
9,2009,91.0,real data,100.0,real data,387779.6086,real data,84.902,real data,100.0,real data,387779.6086,real data,84.902,real data
10,2010,90.00000000000001,real data,100.0,real data,406598.6182999999,real data,85.056,real data,100.0,real data,406598.6182999999,real data,85.056,real data
11,2011,92.77,real data,100.0,real data,416307.3889000001,real data,85.29700000000001,real data,100.0,real data,416307.3889000001,real data,85.29700000000001,real data
12,2012,93.18,real data,100.0,real data,411526.3286,real data,85.62,real data,100.0,real data,411526.3286,real data,85.62,real data
13,2013,94.78359999999998,real data,100.0,real data,412696.4955999999,real data,85.936,real data,100.0,real data,412696.4955999999,real data,85.936,real data
14,2014,92.5236,real data,100.0,real data,418002.8809000001,real data,86.24699999999999,real data,100.0,real data,418002.8809000001,real data,86.24699999999999,real data
15,2015,90.61020000000002,real data,100.0,real data,431846.584,real data,86.553,real data,100.0,real data,431846.584,real data,86.553,real data
16,2016,89.65090000000001,real data,100.0,real data,436475.1525000001,real data,86.85200000000002,real data,100.0,real data,436475.1525000001,real data,86.85200000000002,real data
17,2017,93.0063,real data,100.0,real data,438493.0659,real data,87.146,real data,100.0,real data,438493.0659,real data,87.146,real data
18,2018,89.24700000000001,real data,100.0,real data,441676.80040000007,real data,87.431,real data,100.0,real data,441676.80040000007,real data,87.431,real data
19,2019,94.49339999999998,real data,100.0,real data,448369.6643,real data,87.708,real data,100.0,real data,448369.6643,real data,87.708,real data
20,2020,94.53940000000004,real data,100.0,real data,436214.3817000001,real data,87.97700000000003,real data,100.0,real data,436214.3817000001,real data,87.97700000000003,real data
21,2021,94.67030000000004,real data,100.0,real data,459347.54430000007,real data,88.23800000000003,real data,100.0,real data,459347.54430000007,real data,88.23800000000003,real data
22,2022,95.00970000000002,real data,100.0,real data,462889.6578,real data,88.49200000000002,real data,100.0,real data,462889.6578,real data,88.49200000000002,real data
23,2023,95.7033,real data,99.99999999999996,interpolated/extrapolated data,459275.3813,real data,88.738,real data,99.99999999999996,interpolated/extrapolated data,459275.3813,real data,88.738,real data
