,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,-0.030187785242473,interpolated/extrapolated data,17.8,real data,1117.564368,real data,24.26300000000001,real data,17.8,real data,1117.564368,real data,24.26300000000001,real data
1,2001,-0.0100625950808243,interpolated/extrapolated data,25.6,real data,1192.785833,real data,24.619000000000003,real data,25.6,real data,1192.785833,real data,24.619000000000003,real data
2,2002,0.0,real data,24.1,real data,1028.131999,real data,24.979000000000003,real data,24.1,real data,1028.131999,real data,24.979000000000003,real data
3,2003,0.0,real data,27.7,real data,964.3226253,real data,25.343,real data,27.7,real data,964.3226253,real data,25.343,real data
4,2004,8.673617379884035e-19,real data,30.399999999999995,real data,955.4706084,real data,25.71,real data,30.399999999999995,real data,955.4706084,real data,25.71,real data
5,2005,0.0990318,real data,33.5,real data,964.0266747999996,real data,26.041,real data,33.5,real data,964.0266747999996,real data,26.041,real data
6,2006,0.5000000000000001,real data,36.7,real data,897.5738201000001,real data,26.374,real data,36.7,real data,897.5738201000001,real data,26.374,real data
7,2007,1.0,real data,36.60000000000001,real data,961.8485226,real data,26.70899999999999,real data,36.60000000000001,real data,961.8485226,real data,26.70899999999999,real data
8,2008,1.5000000000000002,real data,43.1,real data,1042.8684200000002,real data,27.04800000000001,real data,43.1,real data,1042.8684200000002,real data,27.04800000000001,real data
9,2009,2.0,real data,46.3,real data,1120.0970550000002,real data,27.38900000000001,real data,46.3,real data,1120.0970550000002,real data,27.38900000000001,real data
10,2010,3.0,real data,38.0,real data,1195.380938,real data,27.732,real data,38.0,real data,1195.380938,real data,27.732,real data
11,2011,4.0,real data,52.7,real data,1237.4839110000005,real data,28.079000000000004,real data,52.7,real data,1237.4839110000005,real data,28.079000000000004,real data
12,2012,7.000000000000002,real data,56.0,real data,1269.4163730000002,real data,28.428000000000004,real data,56.0,real data,1269.4163730000002,real data,28.428000000000004,real data
13,2013,11.0,real data,59.2,real data,1281.928722,real data,28.779000000000003,real data,59.2,real data,1281.928722,real data,28.779000000000003,real data
14,2014,17.5,real data,62.4,real data,1312.9650230000002,real data,29.133,real data,62.4,real data,1312.9650230000002,real data,29.133,real data
15,2015,18.6,real data,67.3,real data,1319.593057,real data,29.49000000000001,real data,67.3,real data,1319.593057,real data,29.49000000000001,real data
16,2016,21.2,real data,76.5,real data,1333.6586310000002,real data,29.85000000000001,real data,76.5,real data,1333.6586310000002,real data,29.85000000000001,real data
17,2017,24.200000000000003,real data,79.50000000000001,real data,1267.0866810000002,real data,30.212,real data,79.50000000000001,real data,1267.0866810000002,real data,30.212,real data
18,2018,27.600000000000005,real data,85.20000000000002,real data,1237.200725,real data,30.578,real data,85.20000000000002,real data,1237.200725,real data,30.578,real data
19,2019,28.0046,real data,90.6,real data,1507.247578,real data,30.947,real data,90.6,real data,1507.247578,real data,30.947,real data
20,2020,32.0127,real data,96.0,real data,1947.8400940000004,real data,31.32000000000001,real data,96.0,real data,1947.8400940000004,real data,31.32000000000001,real data
21,2021,35.5407,real data,100.0,real data,2015.6928290000003,real data,31.695000000000004,real data,100.0,real data,2015.6928290000003,real data,31.695000000000004,real data
22,2022,40.7521,real data,99.7,real data,1578.3833290000002,real data,32.074,real data,99.7,real data,1578.3833290000002,real data,32.074,real data
23,2023,48.17464320787701,interpolated/extrapolated data,94.64936643840848,interpolated/extrapolated data,1278.418694,real data,32.456,real data,94.64936643840848,interpolated/extrapolated data,1278.418694,real data,32.456,real data
