,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,,interpolated/extrapolated data,95.6,real data,43996.734942602576,interpolated/extrapolated data,84.55000000000001,real data,95.6,real data,43996.734942602576,interpolated/extrapolated data,84.55000000000001,real data
1,2001,,interpolated/extrapolated data,94.9,real data,41607.693583835615,interpolated/extrapolated data,85.362,real data,94.9,real data,41607.693583835615,interpolated/extrapolated data,85.362,real data
2,2002,,interpolated/extrapolated data,95.2,real data,39329.34486313816,interpolated/extrapolated data,86.00700000000002,real data,95.2,real data,39329.34486313816,interpolated/extrapolated data,86.00700000000002,real data
3,2003,,interpolated/extrapolated data,95.4,real data,37161.688780510565,interpolated/extrapolated data,86.60800000000002,real data,95.4,real data,37161.688780510565,interpolated/extrapolated data,86.60800000000002,real data
4,2004,,interpolated/extrapolated data,95.7,real data,35104.72533595271,interpolated/extrapolated data,87.188,real data,95.7,real data,35104.72533595271,interpolated/extrapolated data,87.188,real data
5,2005,,interpolated/extrapolated data,96.0,real data,33158.45452946445,interpolated/extrapolated data,87.74499999999998,real data,96.0,real data,33158.45452946445,interpolated/extrapolated data,87.74499999999998,real data
6,2006,,interpolated/extrapolated data,96.2,real data,31322.876361046045,interpolated/extrapolated data,88.281,real data,96.2,real data,31322.876361046045,interpolated/extrapolated data,88.281,real data
7,2007,,interpolated/extrapolated data,96.6,real data,29597.990830697352,interpolated/extrapolated data,88.797,real data,96.6,real data,29597.990830697352,interpolated/extrapolated data,88.797,real data
8,2008,,interpolated/extrapolated data,96.9,real data,27983.797938418425,interpolated/extrapolated data,89.29399999999998,real data,96.9,real data,27983.797938418425,interpolated/extrapolated data,89.29399999999998,real data
9,2009,,interpolated/extrapolated data,100.0,real data,26480.297684209203,interpolated/extrapolated data,89.77000000000002,real data,100.0,real data,26480.297684209203,interpolated/extrapolated data,89.77000000000002,real data
10,2010,,interpolated/extrapolated data,100.0,real data,25087.490068069725,interpolated/extrapolated data,90.228,real data,100.0,real data,25087.490068069725,interpolated/extrapolated data,90.228,real data
11,2011,,interpolated/extrapolated data,100.0,real data,23805.37509,real data,90.66800000000003,real data,100.0,real data,23805.37509,real data,90.66800000000003,real data
12,2012,,interpolated/extrapolated data,93.1,real data,22633.95275,real data,91.09000000000005,real data,93.1,real data,22633.95275,real data,91.09000000000005,real data
13,2013,,interpolated/extrapolated data,100.0,real data,21839.003949999995,real data,91.483,real data,100.0,real data,21839.003949999995,real data,91.483,real data
14,2014,,interpolated/extrapolated data,100.0,real data,22795.19258,real data,91.851,real data,100.0,real data,22795.19258,real data,91.851,real data
15,2015,,interpolated/extrapolated data,100.0,real data,24296.51141,real data,92.19500000000002,real data,100.0,real data,24296.51141,real data,92.19500000000002,real data
16,2016,,interpolated/extrapolated data,100.0,real data,24895.312539999995,real data,92.51700000000002,real data,100.0,real data,24895.312539999995,real data,92.51700000000002,real data
17,2017,,interpolated/extrapolated data,100.0,real data,23301.11248,real data,92.81699999999998,real data,100.0,real data,23301.11248,real data,92.81699999999998,real data
18,2018,,interpolated/extrapolated data,100.0,real data,23633.79277,real data,93.098,real data,100.0,real data,23633.79277,real data,93.098,real data
19,2019,,interpolated/extrapolated data,100.0,real data,23962.3901,real data,93.36,real data,100.0,real data,23962.3901,real data,93.36,real data
20,2020,,interpolated/extrapolated data,99.4,real data,17062.32696,real data,93.60500000000002,real data,99.4,real data,17062.32696,real data,93.60500000000002,real data
21,2021,,interpolated/extrapolated data,100.0,real data,18249.91941,real data,93.83400000000002,real data,100.0,real data,18249.91941,real data,93.83400000000002,real data
22,2022,,interpolated/extrapolated data,99.9,real data,19126.07866,real data,94.047,real data,99.9,real data,19126.07866,real data,94.047,real data
23,2023,,interpolated/extrapolated data,98.7179857692756,interpolated/extrapolated data,19208.5324,real data,94.247,real data,98.7179857692756,interpolated/extrapolated data,19208.5324,real data,94.247,real data
