,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,0.401434,real data,33.7,real data,17166.771,real data,33.758,real data,33.7,real data,17166.771,real data,33.758,real data
1,2001,0.7998459999999998,real data,34.2,real data,17297.76529,real data,34.17000000000001,real data,34.2,real data,17297.76529,real data,34.17000000000001,real data
2,2002,1.1,real data,34.2,real data,15608.38609,real data,34.585,real data,34.2,real data,15608.38609,real data,34.585,real data
3,2003,1.8000000000000005,real data,35.1,real data,12802.50359,real data,34.479,real data,35.1,real data,12802.50359,real data,34.479,real data
4,2004,2.1000000000000005,real data,35.6,real data,11928.7354,real data,34.29399999999999,real data,35.6,real data,11928.7354,real data,34.29399999999999,real data
5,2005,2.4,real data,36.10000000000001,real data,11141.576309999997,real data,34.10999999999999,real data,36.10000000000001,real data,11141.576309999997,real data,34.10999999999999,real data
6,2006,2.4000000000000004,real data,37.2,real data,10625.66932,real data,33.926,real data,37.2,real data,10625.66932,real data,33.926,real data
7,2007,3.0,real data,37.2,real data,10103.46399,real data,33.743,real data,37.2,real data,10103.46399,real data,33.743,real data
8,2008,3.5,real data,37.7,real data,8218.737712000002,real data,33.56000000000001,real data,37.7,real data,8218.737712000002,real data,33.56000000000001,real data
9,2009,4.0,real data,43.400000000000006,real data,9077.952330000002,real data,33.378,real data,43.400000000000006,real data,9077.952330000002,real data,33.378,real data
10,2010,6.4,real data,38.900000000000006,real data,10848.910490000002,real data,33.196,real data,38.900000000000006,real data,10848.910490000002,real data,33.196,real data
11,2011,8.4,real data,36.9,real data,12216.55595,real data,33.015,real data,36.9,real data,12216.55595,real data,33.015,real data
12,2012,11.999999999999998,real data,44.00000000000001,real data,13912.38815,real data,32.834,real data,44.00000000000001,real data,13912.38815,real data,32.834,real data
13,2013,15.500000000000002,real data,40.6,real data,14156.408929999998,real data,32.654,real data,40.6,real data,14156.408929999998,real data,32.654,real data
14,2014,16.364700000000003,real data,32.3,real data,14170.84692,real data,32.504000000000005,real data,32.3,real data,14170.84692,real data,32.504000000000005,real data
15,2015,22.742800000000003,real data,33.7,real data,14265.181250000003,real data,32.385,real data,33.7,real data,14265.181250000003,real data,32.385,real data
16,2016,23.12,real data,42.5,real data,14195.271240000002,real data,32.29600000000001,real data,42.5,real data,14195.271240000002,real data,32.29600000000001,real data
17,2017,24.4,real data,44.0,real data,14562.8322,real data,32.236999999999995,real data,44.0,real data,14562.8322,real data,32.236999999999995,real data
18,2018,25.0,real data,45.400000000000006,real data,15066.63217,real data,32.209,real data,45.400000000000006,real data,15066.63217,real data,32.209,real data
19,2019,26.5883,real data,46.69999999999999,real data,13893.607429999996,real data,32.21,real data,46.69999999999999,real data,13893.607429999996,real data,32.21,real data
20,2020,29.298600000000004,real data,52.7,real data,12596.78207,real data,32.242000000000004,real data,52.7,real data,12596.78207,real data,32.242000000000004,real data
21,2021,32.4616,real data,49.0,real data,13429.670120000002,real data,32.303000000000004,real data,49.0,real data,13429.670120000002,real data,32.303000000000004,real data
22,2022,32.5615,real data,50.1,real data,14013.01029,real data,32.395,real data,50.1,real data,14013.01029,real data,32.395,real data
23,2023,29.013547815004152,interpolated/extrapolated data,58.937371749556775,interpolated/extrapolated data,14515.35762,real data,32.517,real data,58.937371749556775,interpolated/extrapolated data,14515.35762,real data,32.517,real data
